# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:12:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpp7trp2ge\onqul9oq.json
# init = 2 (Default)
# random
#   seed = 28880
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308201246_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01054
# Diagonal elements of inverse mass matrix:
# 0.289577
-10.8764,1,1.01054,1,1,0,11.1217,0.530408
-12.1953,0.828718,1.01054,2,3,0,12.2028,0.816245
-10.5855,1,1.01054,2,3,0,12.0032,0.621255
-10.8327,0.938919,1.01054,1,3,0,10.8644,0.537894
-10.9046,0.979048,1.01054,1,1,0,10.9633,0.525877
-11.9897,0.883312,1.01054,2,3,0,11.9944,0.416592
-10.9939,1,1.01054,1,1,0,11.7155,0.512699
-11.0052,0.996654,1.01054,1,1,0,11.1223,0.511133
-11.0052,0.968605,1.01054,1,1,0,11.184,0.511133
-11.0052,0.679846,1.01054,1,1,0,11.9429,0.511133
-10.9023,1,1.01054,2,3,0,11.0486,0.526245
-11.1781,0.721457,1.01054,2,3,0,12.5832,0.748439
-10.8236,0.912679,1.01054,2,3,0,11.9612,0.539531
-12.1399,0.750073,1.01054,1,3,0,12.1407,0.405957
-11.1371,1,1.01054,2,3,0,11.8917,0.744452
-10.6246,1,1.01054,1,3,0,11.0333,0.658593
-13.0283,0.688565,1.01054,2,3,0,13.4909,0.85072
-10.754,0.987565,1.01054,1,3,0,12.7494,0.69325
-10.7719,0.94175,1.01054,2,3,0,11.239,0.549489
-10.7719,0.8782,1.01054,1,1,0,11.092,0.549489
-10.5891,1,1.01054,1,3,0,10.7329,0.614052
-10.585,0.999942,1.01054,1,3,0,10.589,0.625974
-11.1843,0.85452,1.01054,1,3,0,11.2798,0.488765
