# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:12:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpp7trp2ge\onqul9oq.json
# init = 2 (Default)
# random
#   seed = 28880
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308201246_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.04115
# Diagonal elements of inverse mass matrix:
# 0.266881
-10.5873,0.99937,1.04115,1,3,0,10.5882,0.633133
-11.3744,0.811218,1.04115,1,3,0,11.5401,0.468511
-11.5688,0.945661,1.04115,1,1,0,11.7581,0.450292
-12.3784,0.532151,1.04115,2,3,0,15.5455,0.390218
-10.5921,0.974486,1.04115,2,3,0,12.5358,0.639321
-10.5919,0.811452,1.04115,2,3,0,11.7844,0.639139
-10.5919,0.827649,1.04115,1,3,0,11.2847,0.639139
-11.6583,0.760495,1.04115,1,3,0,11.8782,0.785979
-12.3839,0.875646,1.04115,1,1,0,12.462,0.825106
-13.6209,0.828418,1.04115,1,1,0,13.7045,0.869624
-13.2634,1,1.04115,1,1,0,13.9585,0.858662
-12.5902,1,1.04115,1,1,0,13.3744,0.834015
-11.7889,1,1.04115,1,1,0,12.5318,0.794173
-12.0616,0.983672,1.04115,2,3,0,12.2505,0.809479
-11.7774,1,1.04115,1,1,0,12.1932,0.793477
-11.5099,1,1.04115,1,1,0,11.8656,0.7758
-11.444,1,1.04115,1,1,0,11.6749,0.770936
-11.9521,0.85703,1.04115,2,3,0,13.2739,0.803597
-11.3405,1,1.04115,1,1,0,11.8821,0.762781
-11.2871,1,1.04115,1,1,0,11.4789,0.758301
-13.1043,0.78531,1.04115,1,3,0,13.1181,0.853357
-11.7961,1,1.04115,1,1,0,12.9044,0.794608
-10.6086,0.992427,1.04115,2,3,0,11.8109,0.651046
-10.6086,0.776772,1.04115,1,3,0,11.5643,0.651046
-10.5854,0.954216,1.04115,2,3,0,10.8866,0.621491
-10.7865,0.954441,1.04115,2,3,0,10.8904,0.546547
-10.8739,0.848025,1.04115,2,3,0,11.7139,0.713225
-12.4292,0.860523,1.04115,2,3,0,12.53,0.387031
-11.817,1,1.04115,1,1,0,12.5,0.429637
-11.0539,1,1.04115,2,3,0,11.6362,0.504649
-11.2568,0.942993,1.04115,1,1,0,11.3548,0.480694
-10.6408,1,1.04115,2,3,0,11.1797,0.664784
-10.9278,0.946814,1.04115,1,3,0,10.9308,0.720653
-10.7825,0.959218,1.04115,2,3,0,11.3521,0.698574
-10.806,0.957265,1.04115,1,3,0,11.2021,0.542785
-10.7794,1,1.04115,1,1,0,10.848,0.547964
-10.6559,1,1.04115,1,1,0,10.7492,0.578793
-10.84,0.734395,1.04115,2,3,0,12.2313,0.708144
-11.4784,0.954986,1.04115,2,3,0,11.4784,0.773502
-11.9662,0.909811,1.04115,1,1,0,12.0572,0.804372
-10.6802,0.997618,1.04115,1,3,0,11.7723,0.676679
-10.5911,0.895782,1.04115,2,3,0,11.382,0.611574
-10.9694,0.911845,1.04115,1,3,0,11.0021,0.516153
-10.7445,1,1.04115,2,3,0,10.9202,0.555328
-10.595,1,1.04115,2,3,0,10.7274,0.641994
-10.6631,0.978686,1.04115,1,3,0,10.7093,0.576464
-11.661,0.858568,1.04115,2,3,0,11.7064,0.78615
-10.9862,1,1.04115,1,1,0,11.5201,0.727992
-10.7091,1,1.04115,2,3,0,10.92,0.68378
-10.6631,1,1.04115,1,1,0,10.709,0.671898
-10.9973,0.940908,1.04115,1,3,0,10.9991,0.729312
-10.6236,1,1.04115,1,3,0,10.918,0.658173
-10.7108,0.970034,1.04115,2,3,0,10.8547,0.684164
-10.6996,1,1.04115,1,1,0,10.7349,0.681541
-10.864,0.960373,1.04115,1,1,0,10.8697,0.711772
-10.864,0.863912,1.04115,1,3,0,11.6056,0.711772
-10.6122,1,1.04115,2,3,0,10.8107,0.596521
-10.6541,0.980979,1.04115,1,3,0,10.7312,0.669175
-10.6084,1,1.04115,1,1,0,10.643,0.650931
-13.6052,0.426884,1.04115,1,3,0,14.4651,0.869166
-10.6445,0.964588,1.04115,1,3,0,13.5574,0.666052
-10.6399,1,1.04115,1,1,0,10.6566,0.664451
-10.7681,0.96803,1.04115,1,1,0,10.7687,0.695936
-11.232,0.965566,1.04115,2,3,0,11.2322,0.753447
-11.3215,0.981155,1.04115,1,1,0,11.4503,0.761208
-10.7733,0.932633,1.04115,1,3,0,11.8423,0.549195
-10.7733,0.645697,1.04115,1,3,0,12.1711,0.549195
-10.6222,1,1.04115,1,1,0,10.7307,0.59163
-10.6123,0.964596,1.04115,2,3,0,10.834,0.652955
-10.788,0.965415,1.04115,1,3,0,10.7909,0.699549
-10.6764,0.971617,1.04115,1,3,0,10.9984,0.572458
-10.7263,0.934931,1.04115,2,3,0,11.072,0.559473
-11.1573,0.883448,1.04115,1,1,0,11.1596,0.491895
-10.8577,1,1.04115,1,1,0,11.1053,0.533535
-10.661,1,1.04115,1,1,0,10.8038,0.577125
-10.6097,0.991574,1.04115,1,3,0,10.7207,0.651594
-10.6918,0.992101,1.04115,2,3,0,10.6934,0.568143
-10.7513,0.994392,1.04115,2,3,0,10.771,0.553822
-10.6825,0.973517,1.04115,1,3,0,10.9648,0.677275
-10.6226,0.972865,1.04115,2,3,0,10.8955,0.591482
-10.6226,0.681693,1.04115,1,3,0,11.8445,0.591482
-10.7526,0.986347,1.04115,2,3,0,10.7538,0.692971
-10.6474,0.978625,1.04115,1,3,0,10.9025,0.581669
-10.7472,0.92284,1.04115,2,3,0,11.1187,0.691918
-10.5873,0.733988,1.04115,2,3,0,12.7253,0.633205
-11.2614,0.886329,1.04115,2,3,0,11.4406,0.756068
-11.2542,1,1.04115,2,3,0,11.4154,0.755434
-10.7197,0.943738,1.04115,1,3,0,11.6519,0.561034
-10.6229,1,1.04115,2,3,0,10.6934,0.591339
-10.945,0.898161,1.04115,1,3,0,11.1725,0.722893
-10.5859,1,1.04115,2,3,0,10.9238,0.619759
-11.0982,0.878019,1.04115,1,3,0,11.1679,0.499029
-10.8683,0.916109,1.04115,1,3,0,11.7363,0.712403
-10.9108,0.990038,1.04115,1,1,0,10.971,0.718383
-11.831,0.869006,1.04115,1,3,0,11.8328,0.79669
-11.9879,0.971473,1.04115,1,1,0,12.2147,0.805558
-11.6375,1,1.04115,1,1,0,12.0663,0.78461
-12.0617,0.974463,1.04115,2,3,0,12.1906,0.809485
-11.4914,1,1.04115,1,1,0,12.0313,0.774456
-12.4241,0.839299,1.04115,1,1,0,12.4566,0.826903
-14.1896,0.771238,1.04115,1,1,0,14.2173,0.884779
-13.2991,1,1.04115,1,1,0,14.319,0.859814
-10.8103,0.975993,1.04115,1,3,0,13.024,0.70336
-11.2259,0.90804,1.04115,1,1,0,11.2294,0.75289
-10.5951,0.991961,1.04115,2,3,0,11.2665,0.642056
-10.5859,1,1.04115,1,3,0,10.5929,0.630193
-11.8015,0.719462,1.04115,1,3,0,12.119,0.794936
-10.7276,0.925526,1.04115,1,3,0,12.3364,0.559169
-11.2029,0.87224,1.04115,1,1,0,11.2043,0.486653
-10.6149,0.985158,1.04115,1,3,0,11.2868,0.654254
