# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:15:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpvsgfr1xl\9_7y3i9z.json
# init = 2 (Default)
# random
#   seed = 15922
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308201501_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.04837
# Diagonal elements of inverse mass matrix:
# 0.247999
-13.201,0.884452,1.04837,2,3,0,13.2541,0.343987
-10.87,1,1.04837,2,3,0,12.7963,0.712649
-10.7269,1,1.04837,1,1,0,10.8467,0.687723
-10.8083,0.981348,1.04837,1,1,0,10.8259,0.703026
-10.7452,0.957185,1.04837,2,3,0,11.202,0.555169
-10.8904,0.961481,1.04837,1,1,0,10.9096,0.52813
-10.7234,1,1.04837,2,3,0,10.8577,0.560169
-11.2127,0.875866,1.04837,1,1,0,11.2127,0.485551
-10.7592,0.925663,1.04837,1,3,0,11.7284,0.694255
-11.0206,0.942891,1.04837,1,1,0,11.0249,0.732023
-11.3967,0.925408,1.04837,1,1,0,11.424,0.767289
-10.6538,1,1.04837,2,3,0,11.2275,0.579473
-10.7527,0.873932,1.04837,2,3,0,11.4194,0.692994
-10.8505,0.992622,1.04837,2,3,0,10.8707,0.709751
-10.6852,0.966166,1.04837,1,3,0,11.1302,0.569935
-10.7743,0.976364,1.04837,1,1,0,10.7863,0.548992
-10.7342,0.955266,1.04837,1,3,0,11.1224,0.689275
-10.7207,1,1.04837,1,1,0,10.7605,0.686375
-10.9259,0.954051,1.04837,1,1,0,10.9296,0.720411
-11.7805,0.938786,1.04837,2,3,0,11.7806,0.432525
-10.5853,0.97924,1.04837,2,3,0,11.9135,0.621946
