# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:15:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpvsgfr1xl\9_7y3i9z.json
# init = 2 (Default)
# random
#   seed = 15922
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308201501_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.0296
# Diagonal elements of inverse mass matrix:
# 0.281159
-10.6084,0.808557,1.0296,2,3,0,11.9015,0.650893
-10.6084,0.852012,1.0296,1,3,0,11.2128,0.650893
-10.586,0.769391,1.0296,2,3,0,12.0928,0.630364
-12.9216,0.502679,1.0296,1,3,0,13.6251,0.846896
-11.3747,1,1.0296,1,1,0,12.6219,0.765551
-12.3479,0.824415,1.0296,1,1,0,12.3707,0.823471
-11.9639,1,1.0296,1,1,0,12.4795,0.80425
-10.6292,1,1.0296,1,3,0,11.7912,0.660454
-10.5905,0.971769,1.0296,2,3,0,10.8055,0.612263
-10.5856,0.984605,1.0296,2,3,0,10.673,0.629109
-10.5864,0.999761,1.0296,1,1,0,10.5865,0.631475
-10.717,0.974563,1.0296,2,3,0,10.7625,0.561695
-10.6796,1,1.0296,2,3,0,10.7267,0.57154
-10.604,1,1.0296,1,1,0,10.6578,0.601202
-15.3706,0.40563,1.0296,2,3,0,15.5521,0.909636
-12.9992,1,1.0296,2,3,0,15.0765,0.849691
-11.7206,1,1.0296,1,1,0,12.7964,0.78997
-10.6136,1,1.0296,1,3,0,11.5774,0.65364
-10.6435,0.997348,1.0296,2,3,0,10.6466,0.665697
-10.7687,0.988663,1.0296,2,3,0,10.7695,0.550146
-10.766,0.886774,1.0296,2,3,0,11.4556,0.695543
-10.6192,0.938002,1.0296,2,3,0,11.2331,0.593037
-11.5547,0.722791,1.0296,2,3,0,12.4168,0.451542
-10.9259,1,1.0296,1,1,0,11.3954,0.522588
-10.9889,0.981406,1.0296,1,1,0,11.0771,0.513393
-10.6187,1,1.0296,1,3,0,10.8865,0.593287
-10.6257,0.997976,1.0296,1,1,0,10.6339,0.590097
-10.668,0.995942,1.0296,2,3,0,10.6734,0.574961
-11.5132,0.879726,1.0296,2,3,0,11.5586,0.776036
-10.7305,0.997702,1.0296,1,3,0,11.3365,0.688496
-10.7305,0.866235,1.0296,1,3,0,11.3233,0.688496
-10.6522,1,1.0296,1,1,0,10.7162,0.668582
-11.4061,0.852769,1.0296,2,3,0,11.8227,0.768026
-10.7432,0.934877,1.0296,1,3,0,11.8395,0.555609
-10.6714,1,1.0296,1,1,0,10.736,0.573933
-10.8065,0.895724,1.0296,2,3,0,11.2674,0.542701
-11.5975,0.79044,1.0296,1,1,0,11.6004,0.447768
-11.5569,1,1.0296,1,1,0,11.8649,0.451353
-12.1635,0.945884,1.0296,2,3,0,12.3506,0.404337
-10.8108,1,1.0296,1,3,0,11.7634,0.541887
-10.7285,1,1.0296,1,1,0,10.8145,0.558968
-10.9669,0.931906,1.0296,1,1,0,10.9798,0.516522
-10.7299,1,1.0296,1,1,0,10.9101,0.558631
-11.2632,0.853759,1.0296,1,1,0,11.2647,0.480002
-10.6888,0.964196,1.0296,1,3,0,11.5112,0.678884
-10.9555,0.91081,1.0296,1,3,0,11.2531,0.518173
-10.6834,1,1.0296,1,1,0,10.8785,0.57044
-10.5926,0.987586,1.0296,2,3,0,10.7607,0.610048
-10.5926,0.744897,1.0296,1,3,0,11.5146,0.610048
-10.6054,0.991377,1.0296,2,3,0,10.6429,0.60039
-10.5942,0.989945,1.0296,2,3,0,10.6668,0.641323
-11.1012,0.88417,1.0296,1,3,0,11.1636,0.7408
-10.7824,0.81647,1.0296,2,3,0,12.5965,0.547363
-11.3782,0.837747,1.0296,1,1,0,11.3835,0.468134
-10.7752,0.938082,1.0296,1,3,0,11.821,0.697242
-10.7344,1,1.0296,1,1,0,10.7954,0.689315
-11.7758,0.815323,1.0296,1,3,0,11.812,0.793379
-11.1994,1,1.0296,1,1,0,11.695,0.750453
-11.0037,0.894475,1.0296,2,3,0,12.2802,0.51135
-11.1311,0.962723,1.0296,1,1,0,11.2315,0.495002
-12.2142,0.726386,1.0296,1,1,0,12.2533,0.40091
-11.2197,1,1.0296,1,1,0,11.9843,0.484762
-10.8845,1,1.0296,2,3,0,11.1613,0.529083
-10.7323,0.892376,1.0296,2,3,0,11.5413,0.558081
-10.6418,1,1.0296,1,1,0,10.7109,0.583708
-10.7612,0.920749,1.0296,2,3,0,11.093,0.551724
-11.2726,0.859129,1.0296,1,1,0,11.2779,0.479001
-13.7927,0.483345,1.0296,1,1,0,13.7967,0.316273
-10.6003,1,1.0296,1,3,0,13.1908,0.603718
-10.7929,0.956459,1.0296,1,3,0,10.7969,0.545304
-10.587,0.985393,1.0296,2,3,0,10.8789,0.617436
-11.1692,0.850553,1.0296,1,3,0,11.3355,0.747592
-11.2536,0.981389,1.0296,1,1,0,11.3751,0.755375
-11.9266,0.762736,1.0296,1,3,0,13.4704,0.42125
-10.6481,0.981072,1.0296,1,3,0,12.0456,0.667266
-10.6481,0.516293,1.0296,1,3,0,13.0298,0.667266
-10.958,0.905769,1.0296,1,3,0,11.1865,0.517799
-10.7219,1,1.0296,1,1,0,10.9,0.560509
-11.1146,0.958049,1.0296,2,3,0,11.1188,0.497007
-10.7658,1,1.0296,1,1,0,11.0245,0.550739
-10.5862,1,1.0296,1,3,0,10.7333,0.619078
-10.6087,0.993399,1.0296,1,3,0,10.6184,0.65107
-11.1427,0.858712,1.0296,1,3,0,11.3321,0.493618
-11.1427,0.703985,1.0296,1,3,0,13.1127,0.493618
-10.8507,1,1.0296,1,1,0,11.0929,0.534738
-11.3658,0.85788,1.0296,1,1,0,11.3858,0.469366
-11.3658,0.649251,1.0296,1,1,0,12.4769,0.469366
