# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:18:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmp7rv_lj8s\57k430iw.json
# init = 2 (Default)
# random
#   seed = 9346
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308201842_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.938829
# Diagonal elements of inverse mass matrix:
# 0.307775
-10.7432,0.951768,0.938829,1,3,0,11.1609,0.691116
-10.6522,0.737489,0.938829,2,3,0,12.8663,0.668592
-10.6103,1,0.938829,1,1,0,10.6428,0.65192
-10.6858,0.978512,0.938829,2,3,0,10.7805,0.569781
-10.9601,0.889381,0.938829,1,3,0,11.3687,0.724793
-10.5872,0.992503,0.938829,1,3,0,11.0016,0.617009
-10.5886,0.999027,0.938829,1,3,0,10.5942,0.63515
-11.1839,0.863663,0.938829,1,3,0,11.3181,0.748994
-11.939,0.864995,0.938829,1,1,0,11.9494,0.802874
-10.606,0.957943,0.938829,1,3,0,12.2508,0.599994
-11.679,0.848064,0.938829,2,3,0,11.7469,0.787322
-11.3876,1,0.938829,1,1,0,11.7237,0.766578
-12.481,0.940576,0.938829,2,3,0,12.4858,0.829392
-10.7661,0.980035,0.938829,1,3,0,12.2864,0.695557
-10.7142,0.958712,0.938829,2,3,0,11.1488,0.562372
-10.7765,0.934688,0.938829,2,3,0,11.1776,0.548563
-10.7495,1,0.938829,2,3,0,10.8069,0.554219
-10.8638,0.90277,0.938829,2,3,0,11.3983,0.711745
-10.8669,0.935997,0.938829,1,3,0,11.474,0.531988
-11.113,0.935521,0.938829,1,1,0,11.1481,0.497202
-11.3687,0.977685,0.938829,2,3,0,11.4626,0.469075
-12.3092,0.77817,0.938829,1,1,0,12.38,0.39465
-12.2636,1,0.938829,2,7,0,12.2638,0.819542
-10.6328,0.987395,0.938829,1,3,0,12.1984,0.661867
-10.6044,1,0.938829,1,1,0,10.6267,0.648604
-10.5991,0.990654,0.938829,2,3,0,10.674,0.604551
-11.1109,0.888992,0.938829,1,3,0,11.1568,0.497463
-12.3075,0.725035,0.938829,1,1,0,12.32,0.394765
-11.1832,1,0.938829,2,3,0,12.0311,0.488892
-10.6373,1,0.938829,2,3,0,11.0887,0.66353
-10.6241,0.989398,0.938829,1,3,0,10.7282,0.590775
-10.6103,1,0.938829,1,1,0,10.6244,0.597551
-10.7473,0.973666,0.938829,1,3,0,10.7483,0.554699
-12.2169,0.652921,0.938829,2,3,0,13.5085,0.400733
-11.0597,1,0.938829,1,1,0,11.914,0.503889
-10.6417,0.967026,0.938829,1,3,0,11.2693,0.665093
-11.194,0.846657,0.938829,1,3,0,11.5466,0.487659
-11.2695,0.979744,0.938829,1,1,0,11.4169,0.47933
-10.5862,1,0.938829,1,3,0,11.2091,0.619146
-10.6002,0.912235,0.938829,2,3,0,11.1316,0.645904
-10.626,0.98869,0.938829,1,3,0,10.6739,0.589954
-10.8063,0.980181,0.938829,2,3,0,10.807,0.702699
-10.7105,0.945956,0.938829,2,3,0,11.2828,0.563306
-10.59,1,0.938829,1,3,0,10.6885,0.612881
-10.5954,0.998604,0.938829,1,1,0,10.5958,0.607453
-10.5954,0.565786,0.938829,1,3,0,12.796,0.607453
-10.8207,0.934095,0.938829,1,3,0,10.9464,0.705074
-10.7508,1,0.938829,1,1,0,10.8289,0.692623
-12.6389,0.811634,0.938829,2,3,0,12.7991,0.374382
-11.9506,1,0.938829,1,1,0,12.6927,0.419464
-10.6419,0.958313,0.938829,1,3,0,12.2161,0.665151
-11.0704,0.921612,0.938829,1,3,0,11.0898,0.73755
-10.598,0.982453,0.938829,1,3,0,11.1817,0.605382
-11.2387,0.600928,0.938829,2,3,0,13.3194,0.754047
-10.9007,1,0.938829,1,1,0,11.1815,0.717002
-11.08,0.891847,0.938829,1,3,0,11.8731,0.501303
-10.6133,0.978524,0.938829,1,3,0,11.2067,0.653487
-10.727,0.961177,0.938829,1,3,0,10.8454,0.559308
-10.9048,0.852446,0.938829,2,3,0,11.6558,0.717575
-10.7475,0.93681,0.938829,2,3,0,11.4984,0.55467
-10.5853,0.999845,0.938829,2,3,0,10.7501,0.62794
-10.6006,0.823866,0.938829,2,3,0,11.759,0.646186
-10.6657,0.983172,0.938829,2,3,0,10.7305,0.672674
