# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:18:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmp7rv_lj8s\57k430iw.json
# init = 2 (Default)
# random
#   seed = 9346
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308201842_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.0605
# Diagonal elements of inverse mass matrix:
# 0.262303
-11.1632,0.500547,1.0605,1,1,0,12.8754,0.491209
-10.9264,0.905123,1.0605,1,3,0,11.8967,0.720465
-10.9264,0.958017,1.0605,1,1,0,11.1152,0.720465
-10.7621,0.850186,1.0605,2,3,0,12.0862,0.551523
-12.9082,0.46875,1.0605,2,3,0,14.5271,0.846406
-14.6377,0.790357,1.0605,1,1,0,14.7055,0.895121
-12.2659,1,1.0605,1,1,0,14.278,0.819647
-10.9312,0.986891,1.0605,1,3,0,11.9912,0.721096
-11.3546,0.877549,1.0605,2,3,0,12.1362,0.763936
-10.6473,1,1.0605,1,3,0,11.2153,0.666982
-10.632,1,1.0605,1,1,0,10.6528,0.661576
-10.6015,0.724644,1.0605,2,3,0,12.5591,0.646776
-10.6144,0.986007,1.0605,2,3,0,10.6927,0.595388
-10.6144,0.816797,1.0605,1,3,0,11.2461,0.595388
-10.914,0.934247,1.0605,1,3,0,10.9184,0.524414
-11.2754,0.898953,1.0605,1,1,0,11.32,0.478704
-13.4975,0.785967,1.0605,2,3,0,13.5064,0.329626
-11.3858,1,1.0605,1,1,0,12.9193,0.467384
-11.1872,1,1.0605,2,3,0,11.4675,0.48843
-10.952,1,1.0605,1,1,0,11.1865,0.518678
-10.6895,1,1.0605,2,3,0,10.8795,0.568759
-10.8513,0.906431,1.0605,2,3,0,11.2755,0.709872
-12.1706,0.779269,1.0605,2,3,0,12.9519,0.815027
-11.1465,1,1.0605,1,1,0,11.9604,0.745374
-11.6341,0.900941,1.0605,1,1,0,11.6768,0.784381
-10.9763,1,1.0605,1,1,0,11.495,0.726798
-13.209,0.677192,1.0605,1,3,0,13.327,0.856879
-12.4377,1,1.0605,1,1,0,13.267,0.827504
-12.4377,0.725715,1.0605,1,1,0,14.3039,0.827504
-10.9673,0.955412,1.0605,2,3,0,12.9946,0.725684
-10.8514,1,1.0605,1,1,0,10.9827,0.709882
-10.8514,0.50342,1.0605,1,3,0,13.6937,0.709882
-10.9116,0.985586,1.0605,1,1,0,10.9656,0.718499
-11.7046,0.945589,1.0605,2,3,0,11.7047,0.788958
-12.3435,0.888087,1.0605,1,1,0,12.4477,0.82327
-10.6465,1,1.0605,1,3,0,12.156,0.666724
-10.6319,1,1.0605,2,3,0,10.6522,0.66153
-10.6319,0.866543,1.0605,1,3,0,11.1619,0.66153
-10.6287,1,1.0605,1,1,0,10.6421,0.660281
-10.7165,0.967099,1.0605,1,3,0,10.8372,0.561816
-10.7165,0.693307,1.0605,1,3,0,11.8474,0.561816
-10.6226,1,1.0605,2,3,0,10.6917,0.657744
-10.8877,0.966266,1.0605,2,3,0,10.9148,0.528569
-10.6029,1,1.0605,1,3,0,10.8148,0.601965
-11.447,0.811428,1.0605,1,3,0,11.5033,0.461452
-10.6805,0.963318,1.0605,1,3,0,11.6887,0.676758
-11.2034,0.883783,1.0605,2,3,0,11.6184,0.750826
-10.7289,0.797992,1.0605,2,3,0,13.2531,0.558859
-10.7463,0.994966,1.0605,1,1,0,10.7841,0.554933
-10.7463,0.501373,1.0605,1,3,0,12.8532,0.554933
-12.4197,0.541542,1.0605,1,3,0,13.6902,0.826706
-11.8591,1,1.0605,1,1,0,12.4604,0.798334
-10.6834,1,1.0605,1,3,0,11.6559,0.677499
-10.7973,0.971529,1.0605,1,1,0,10.8054,0.70116
-11.3139,0.885029,1.0605,1,1,0,11.3144,0.760579
-10.6614,1,1.0605,1,3,0,11.1756,0.671416
-11.9542,0.688833,1.0605,1,3,0,12.4762,0.4192
-11.9724,0.994778,1.0605,1,1,0,12.3684,0.417857
-11.2401,0.725053,1.0605,2,3,0,14.2916,0.482512
-10.7829,1,1.0605,2,3,0,11.1227,0.698643
-10.5864,1,1.0605,1,3,0,10.7575,0.631414
-10.6593,0.98007,1.0605,1,3,0,10.6811,0.577672
-10.6608,0.999574,1.0605,1,1,0,10.6816,0.577197
-10.5851,0.998217,1.0605,2,3,0,10.6713,0.626558
-10.5851,0.639103,1.0605,1,3,0,12.0573,0.626558
-10.6233,0.913919,1.0605,2,3,0,11.0759,0.658041
-10.9913,0.949935,1.0605,2,3,0,11.0428,0.513059
-10.8102,0.938199,1.0605,1,3,0,11.4746,0.703342
-10.6628,0.973021,1.0605,1,3,0,10.9913,0.576572
-10.8225,0.934562,1.0605,1,3,0,11.0604,0.705371
-10.6064,1,1.0605,1,3,0,10.7729,0.649811
-10.6064,0.68058,1.0605,1,3,0,11.9783,0.649811
-10.9669,0.922529,1.0605,1,3,0,10.9901,0.725645
-10.7364,0.953126,1.0605,1,3,0,11.3124,0.557135
-10.6495,1,1.0605,1,1,0,10.718,0.580959
-10.641,1,1.0605,1,1,0,10.6612,0.583981
-10.8432,0.943143,1.0605,1,1,0,10.8436,0.536037
-11.0359,0.756187,1.0605,2,3,0,12.2971,0.733764
-10.875,1,1.0605,1,1,0,11.0384,0.713383
-11.0156,0.967216,1.0605,1,1,0,11.0596,0.731458
-10.7803,1,1.0605,2,3,0,10.9717,0.698168
-11.7536,0.736677,1.0605,1,3,0,12.4746,0.434682
-12.408,0.587581,1.0605,2,3,0,15.8044,0.826187
-12.0112,1,1.0605,1,1,0,12.5399,0.806814
-10.6804,1,1.0605,1,3,0,11.8,0.676711
-10.7092,0.966725,1.0605,2,3,0,10.9587,0.56363
-10.9257,0.979558,1.0605,2,3,0,10.9356,0.522609
-10.9257,0.821379,1.0605,1,1,0,11.421,0.522609
-10.9947,0.979892,1.0605,1,1,0,11.0806,0.512591
-12.2825,0.844959,1.0605,2,3,0,12.2826,0.820435
-10.5851,0.971744,1.0605,1,3,0,12.3003,0.626307
-10.5866,0.927087,1.0605,2,3,0,10.9901,0.618123
-10.8869,0.927156,1.0605,1,3,0,10.9198,0.528706
-11.7101,0.784827,1.0605,1,1,0,11.7203,0.43823
-11.148,1,1.0605,1,1,0,11.6274,0.492996
-11.148,0.903044,1.0605,1,1,0,11.5003,0.492996
-10.7976,1,1.0605,2,3,0,11.0638,0.544394
-10.7614,1,1.0605,1,1,0,10.8309,0.551664
-10.6086,1,1.0605,1,3,0,10.7182,0.598473
