# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:19:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpg8oqxifs\up16af2z.json
# init = 2 (Default)
# random
#   seed = 90733
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308201919_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.999538
# Diagonal elements of inverse mass matrix:
# 0.27041
-10.7805,1,0.999538,1,1,0,10.8671,0.698213
-10.8101,0.94814,0.999538,1,3,0,11.2563,0.542014
-10.6076,0.981037,0.999538,2,3,0,10.9423,0.599083
-10.6054,0.994558,0.999538,1,3,0,10.6538,0.649219
-10.6564,0.78135,0.999538,2,3,0,12.1284,0.669886
-15.7028,0.53394,0.999538,2,3,0,16.4989,0.246477
-14.9673,1,0.999538,1,1,0,16.4384,0.270498
-10.6302,1,0.999538,2,3,0,14.624,0.660855
-10.6399,0.999221,0.999538,2,3,0,10.6487,0.66445
-10.6426,0.999346,0.999538,1,1,0,10.6553,0.665398
-13.3002,0.696426,0.999538,2,3,0,13.7642,0.339066
-15.7302,0.859351,0.999538,2,3,0,15.9773,0.24564
-12.6948,1,0.999538,1,1,0,15.1142,0.37114
-10.621,0.977767,0.999538,1,3,0,12.8942,0.65706
-10.5949,0.911775,0.999538,2,3,0,11.2194,0.607885
-10.7598,0.964772,0.999538,1,3,0,10.7693,0.552018
-11.7918,0.814813,0.999538,1,3,0,11.7999,0.431627
-12.1784,0.903368,0.999538,1,1,0,12.4218,0.403328
-12.3612,0.953786,0.999538,1,1,0,12.7442,0.391311
-10.6539,1,0.999538,1,3,0,12.0252,0.579451
-10.6148,1,0.999538,2,3,0,10.6458,0.59518
-10.9598,0.954548,0.999538,2,3,0,10.9715,0.724761
-10.8127,1,0.999538,1,1,0,10.9508,0.703754
-10.6278,0.979686,0.999538,1,3,0,10.9655,0.589209
-10.6241,1,0.999538,2,3,0,10.6361,0.590795
-13.0318,0.564029,0.999538,1,3,0,13.3076,0.352659
-11.264,1,0.999538,2,7,0,12.6496,0.756296
-11.1073,0.867103,0.999538,2,7,0,12.4959,0.497897
-10.6315,1,0.999538,2,3,0,11.0227,0.661384
-11.2938,0.82471,0.999538,1,3,0,11.6556,0.47675
-10.8858,1,0.999538,2,3,0,11.2068,0.528882
-11.8855,0.763885,0.999538,1,1,0,11.8858,0.424353
-10.9916,0.838737,0.999538,1,3,0,13.1052,0.728635
-11.0692,0.892899,0.999538,1,3,0,12.0091,0.502672
-12.8061,0.784733,0.999538,2,7,0,12.8187,0.842588
-10.6173,1,0.999538,2,3,0,12.361,0.593938
-10.7084,0.965516,0.999538,2,3,0,10.8576,0.563815
-10.7896,0.92021,0.999538,2,3,0,11.2366,0.69983
-10.5952,0.994623,0.999538,2,3,0,10.8283,0.642181
-10.5932,0.995554,0.999538,2,3,0,10.629,0.609429
-10.6208,0.917692,0.999538,2,3,0,11.085,0.656971
-10.6208,0.671778,0.999538,1,3,0,12.2742,0.656971
-10.6165,0.989341,0.999538,2,3,0,10.7106,0.594348
-10.6283,0.976839,0.999538,2,3,0,10.7739,0.660115
-10.7814,0.962393,0.999538,2,3,0,10.9323,0.698364
-10.9756,0.957711,0.999538,1,1,0,10.9878,0.726709
-11.2357,0.982388,0.999538,2,3,0,11.2707,0.753779
-10.738,0.940695,0.999538,1,3,0,11.7605,0.556784
-10.8427,0.807928,0.999538,2,3,0,12.0492,0.708562
-10.8751,0.992844,0.999538,1,1,0,10.927,0.713392
-11.7605,0.878363,0.999538,1,3,0,11.7686,0.792449
-10.6967,1,0.999538,2,3,0,11.5106,0.566822
-10.6676,1,0.999538,2,3,0,10.7047,0.575088
-11.855,0.837655,0.999538,2,3,0,11.8796,0.798096
-10.6066,1,0.999538,2,3,0,11.6207,0.599619
-11.8229,0.763292,0.999538,2,3,0,12.4627,0.429175
-11.0236,1,0.999538,1,1,0,11.6276,0.50864
-11.4298,0.96539,0.999538,2,3,0,11.4818,0.463094
-10.9294,1,0.999538,1,1,0,11.3187,0.522058
-10.9059,0.896084,0.999538,1,3,0,11.6747,0.717726
-11.1489,0.949523,0.999538,1,1,0,11.1749,0.74562
-10.626,0.969033,0.999538,1,3,0,11.3741,0.589984
-10.6644,0.989963,0.999538,1,1,0,10.6687,0.576069
-10.9155,0.935313,0.999538,1,1,0,10.9156,0.524178
-10.7318,0.94569,0.999538,1,3,0,11.3117,0.688764
-10.6756,0.957359,0.999538,2,3,0,11.0897,0.572677
-10.6211,1,0.999538,1,1,0,10.6633,0.59214
-10.6211,0.843153,0.999538,1,3,0,11.3532,0.59214
-10.9861,0.952551,0.999538,2,3,0,10.996,0.727977
-10.7675,1,0.999538,1,1,0,10.9453,0.695819
-10.6714,1,0.999538,1,1,0,10.7502,0.674292
-10.6714,0.740328,0.999538,1,3,0,11.9587,0.674292
-10.5872,0.865613,0.999538,2,3,0,11.5964,0.61694
-10.6046,0.99651,0.999538,1,3,0,10.605,0.600858
-10.9975,0.885008,0.999538,1,3,0,11.233,0.72934
-11.3912,0.974114,0.999538,2,3,0,11.4125,0.766858
-10.9694,1,0.999538,2,3,0,11.3191,0.725946
-10.6039,0.999025,0.999538,1,3,0,10.9194,0.648328
-10.5941,0.968696,0.999538,2,3,0,10.81,0.608549
-10.8009,0.955101,0.999538,1,3,0,10.8159,0.543766
-11.2533,0.885242,0.999538,1,1,0,11.2599,0.481077
-10.7004,1,0.999538,2,3,0,11.1286,0.681744
-10.9892,0.931168,0.999538,2,3,0,11.3024,0.728354
-11.2104,0.918808,0.999538,2,3,0,11.9017,0.751469
-11.0932,1,0.999538,1,1,0,11.2701,0.73997
-11.4091,0.832189,0.999538,1,3,0,12.7152,0.465095
-10.6539,1,0.999538,1,3,0,11.2318,0.579444
-10.8633,0.917398,0.999538,1,3,0,11.1531,0.71167
-10.5915,0.990814,0.999538,1,3,0,10.92,0.611186
-10.595,0.976916,0.999538,2,3,0,10.7298,0.642034
-11.6154,0.85348,0.999538,2,3,0,11.8512,0.44622
-10.6242,0.967401,0.999538,1,3,0,11.8088,0.658439
-10.9298,0.942875,0.999538,1,3,0,10.9433,0.720921
-10.9069,1,0.999538,1,1,0,10.9931,0.717853
-10.809,1,0.999538,1,1,0,10.916,0.703152
-11.8507,0.917761,0.999538,2,3,0,11.8705,0.427015
-12.0235,0.955526,0.999538,1,1,0,12.3239,0.414146
-10.8095,0.887272,0.999538,2,3,0,13.0131,0.542134
-10.6901,0.962328,0.999538,1,3,0,11.0886,0.67921
-11.5861,0.843329,0.999538,1,3,0,11.6492,0.781148
-10.5872,0.995842,0.999538,1,3,0,11.6136,0.632915
-10.6733,0.976487,0.999538,1,3,0,10.7084,0.573352
-10.5927,0.993422,0.999538,2,3,0,10.7186,0.609879
-11.4544,0.834532,0.999538,2,3,0,11.8608,0.46075
-10.6103,0.976359,0.999538,1,3,0,11.5876,0.651943
-10.5869,0.868756,0.999538,2,3,0,11.5042,0.617624
-10.7146,0.980951,0.999538,2,3,0,10.7309,0.685035
-10.6795,0.972924,0.999538,2,3,0,10.9682,0.571555
-10.82,0.93082,0.999538,1,3,0,11.1311,0.704954
-10.9529,0.971053,0.999538,1,1,0,10.98,0.723892
-10.7007,1,0.999538,1,1,0,10.8956,0.681825
-10.6726,1,0.999538,1,1,0,10.709,0.674606
-10.592,0.996262,0.999538,2,3,0,10.7003,0.639207
-10.5901,0.9938,0.999538,2,3,0,10.6339,0.612794
-10.585,1,0.999538,1,3,0,10.5897,0.624347
-10.5851,0.997202,0.999538,2,3,0,10.6017,0.626719
-10.5865,0.9997,0.999538,1,3,0,10.5866,0.631652
-10.5858,0.942998,0.999538,2,3,0,10.9342,0.629846
-10.5851,1,0.999538,1,3,0,10.5857,0.626943
-10.5851,0.691105,0.999538,1,3,0,11.9784,0.626943
-10.9648,0.907757,0.999538,1,3,0,11.0672,0.725377
