# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:19:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpg8oqxifs\up16af2z.json
# init = 2 (Default)
# random
#   seed = 90733
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308201919_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.03306
# Diagonal elements of inverse mass matrix:
# 0.307526
-12.6924,0.945215,1.03306,1,1,0,13.0248,0.838164
-11.3753,1,1.03306,1,1,0,12.4252,0.765596
-11.6608,0.936767,1.03306,1,1,0,11.8024,0.786143
-10.7346,1,1.03306,1,3,0,11.4261,0.689346
-10.9835,0.9343,1.03306,1,1,0,10.9942,0.72767
-10.9835,0.773576,1.03306,1,1,0,11.7942,0.72767
-10.9708,1,1.03306,1,1,0,11.0846,0.726126
-11.1001,0.96734,1.03306,1,1,0,11.1802,0.740687
-10.8841,1,1.03306,1,1,0,11.089,0.714681
-14.8347,0.373874,1.03306,1,3,0,15.2973,0.899294
-12.182,1,1.03306,1,1,0,14.387,0.81559
-12.4631,0.982471,1.03306,2,3,0,12.7655,0.828617
-10.6133,0.932755,1.03306,1,3,0,12.4939,0.595917
-12.4103,0.716879,1.03306,2,3,0,12.6989,0.826289
-10.6674,0.919625,1.03306,1,3,0,12.5982,0.575146
-11.3456,0.80191,1.03306,1,3,0,11.7335,0.763205
-12.0352,0.857352,1.03306,1,1,0,12.1046,0.808091
-11.5902,1,1.03306,2,3,0,12.0928,0.781433
-10.8064,1,1.03306,1,3,0,11.3879,0.702709
-10.6005,1,1.03306,1,3,0,10.7504,0.646129
-10.5957,1,1.03306,1,1,0,10.6015,0.642599
-10.6174,0.997791,1.03306,2,3,0,10.6182,0.593881
-10.7401,0.961537,1.03306,1,1,0,10.7412,0.556297
-10.7401,0.200062,1.03306,1,3,0,14.9325,0.556297
-10.6309,0.920571,1.03306,2,3,0,11.1112,0.58791
-10.6819,0.994607,1.03306,2,3,0,10.6899,0.570867
-10.6184,0.78493,1.03306,2,3,0,11.8002,0.655897
-11.0412,0.883599,1.03306,2,3,0,11.3993,0.734357
-10.6025,0.980229,1.03306,1,3,0,11.0506,0.602194
-10.6025,0.390288,1.03306,1,3,0,13.112,0.602194
-10.7113,0.96602,1.03306,1,1,0,10.7113,0.563088
-10.8442,0.957784,1.03306,1,1,0,10.8676,0.535869
-10.9663,0.960827,1.03306,1,1,0,11.0318,0.516602
-11.1553,0.939891,1.03306,1,1,0,11.2512,0.492135
-12.2806,0.880948,1.03306,2,3,0,12.3486,0.396518
-11.4826,1,1.03306,1,1,0,12.2084,0.458115
-11.4826,0.317747,1.03306,1,1,0,14.0776,0.458115
-10.9796,1,1.03306,1,1,0,11.3858,0.514709
-11.8266,0.913604,1.03306,2,3,0,11.8331,0.796428
-10.6281,0.968107,1.03306,2,3,0,12.0327,0.660028
-10.5853,0.998603,1.03306,2,3,0,10.6351,0.622246
-10.5986,0.990037,1.03306,2,3,0,10.6334,0.644768
-10.8289,0.951798,1.03306,2,3,0,10.92,0.538583
-10.6367,1,1.03306,1,1,0,10.769,0.5856
-10.7688,0.872131,1.03306,2,3,0,11.2404,0.550121
-11.6898,0.73993,1.03306,1,1,0,11.6927,0.439908
-12.4069,0.795695,1.03306,1,1,0,12.6614,0.388422
-12.5199,0.965493,1.03306,1,1,0,13.0868,0.381458
-10.6354,1,1.03306,1,3,0,12.3472,0.66284
-10.7669,0.985778,1.03306,2,3,0,10.7766,0.550519
-11.5,0.901437,1.03306,2,3,0,11.5065,0.456501
-11.5,0.612848,1.03306,1,1,0,12.675,0.456501
-12.051,0.837142,1.03306,1,1,0,12.269,0.412176
-11.6303,1,1.03306,1,1,0,12.1908,0.444936
-10.7574,1,1.03306,2,3,0,11.3474,0.55253
-10.931,0.918378,1.03306,2,3,0,11.2918,0.721077
-10.931,0.771804,1.03306,1,1,0,11.7303,0.721077
-11.4104,0.956828,1.03306,2,3,0,11.4156,0.464976
-10.7436,1,1.03306,2,3,0,11.1974,0.555513
