# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:20:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpzkd5glb9\cvoez78r.json
# init = 2 (Default)
# random
#   seed = 69556
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202055_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.09917
# Diagonal elements of inverse mass matrix:
# 0.207674
-11.0547,0.951524,1.09917,2,7,0,11.0552,0.735846
-11.4014,0.978905,1.09917,2,3,0,11.4281,0.767659
-10.6129,0.990488,1.09917,1,3,0,11.3751,0.653259
-10.738,0.974342,1.09917,2,3,0,10.8277,0.690061
-10.6054,0.987602,1.09917,1,3,0,10.8412,0.600366
-10.6189,0.989512,1.09917,1,3,0,10.6811,0.656129
-10.8595,0.957983,1.09917,1,3,0,10.8729,0.711108
-10.9278,0.995384,1.09917,2,3,0,10.9697,0.720654
-11.4062,0.911441,1.09917,1,1,0,11.409,0.768035
-12.1692,0.879478,1.09917,1,1,0,12.1876,0.814958
-10.7642,0.978744,1.09917,1,3,0,12.0361,0.695201
-10.585,0.998087,1.09917,1,3,0,10.779,0.625773
-10.5875,0.999658,1.09917,2,3,0,10.5878,0.616434
-10.588,0.999099,1.09917,1,3,0,10.5947,0.634399
-12.5108,0.59565,1.09917,1,3,0,13.2929,0.830678
-11.7363,1,1.09917,1,1,0,12.4368,0.79095
-10.769,0.982279,1.09917,2,3,0,11.9367,0.696114
-10.6501,1,1.09917,1,1,0,10.7433,0.667901
-10.6629,0.981956,1.09917,1,3,0,10.8339,0.576523
-10.7118,0.960388,1.09917,1,3,0,10.9508,0.684397
-10.7144,0.969329,1.09917,1,3,0,11.0295,0.56233
-10.601,1,1.09917,2,3,0,10.6892,0.646453
-10.7569,0.970925,1.09917,1,3,0,10.7685,0.693817
-10.7224,0.980162,1.09917,2,3,0,10.9844,0.686747
-10.585,0.998549,1.09917,1,3,0,10.7334,0.625545
-11.167,0.861289,1.09917,1,3,0,11.3786,0.747374
-10.7926,1,1.09917,1,1,0,11.091,0.700355
-10.7668,1,1.09917,1,1,0,10.8204,0.6957
-10.6534,0.975982,1.09917,1,3,0,10.9959,0.579626
-10.601,0.991313,1.09917,1,3,0,10.715,0.646448
-14.4831,0.324782,1.09917,1,3,0,16.3557,0.891695
-12.981,1,1.09917,1,1,0,14.3564,0.849042
-10.9326,0.966193,1.09917,1,3,0,12.8058,0.721286
-10.5943,0.99671,1.09917,1,3,0,10.917,0.641354
-11.5316,0.872291,1.09917,2,3,0,11.6679,0.777351
-10.6909,0.989134,1.09917,1,3,0,11.4286,0.679421
-10.6322,0.979307,1.09917,2,3,0,10.8826,0.58738
-10.6247,0.988698,1.09917,1,3,0,10.7362,0.658645
-12.3269,0.674917,1.09917,1,3,0,12.7855,0.822507
-10.8511,0.993851,1.09917,2,7,0,12.0016,0.534665
-10.8511,0.737929,1.09917,1,3,0,12.4477,0.534665
-10.8511,0.776801,1.09917,1,3,0,12.2001,0.534665
-11.5051,0.718238,1.09917,1,3,0,12.7757,0.775456
-10.6171,1,1.09917,2,3,0,11.3221,0.594039
-10.5886,0.998331,1.09917,2,3,0,10.6298,0.614767
-10.5959,0.988721,1.09917,2,3,0,10.6616,0.642712
-11.7022,0.766799,1.09917,1,3,0,12.024,0.788808
-10.8626,0.99548,1.09917,2,7,0,11.5294,0.532719
-11.3461,0.766688,1.09917,1,3,0,12.5031,0.763238
-10.6755,0.991936,1.09917,1,3,0,11.2543,0.675415
-10.6737,0.978219,1.09917,1,3,0,10.8957,0.573251
-10.588,0.999627,1.09917,1,3,0,10.6636,0.615663
-10.7827,0.947168,1.09917,1,3,0,10.8806,0.698599
-12.1896,0.657344,1.09917,1,3,0,13.43,0.402566
-10.6054,0.96617,1.09917,1,3,0,12.4488,0.649226
-10.739,0.795855,1.09917,2,3,0,12.082,0.690262
-10.9426,0.958222,1.09917,1,1,0,10.9457,0.722573
-10.8225,1,1.09917,2,3,0,10.9427,0.705365
-10.7795,0.952404,1.09917,1,3,0,11.3307,0.547949
-10.6726,1,1.09917,1,1,0,10.7582,0.573571
-10.7385,0.964419,1.09917,2,3,0,10.9722,0.556665
-10.5889,0.996545,1.09917,2,3,0,10.7628,0.614354
-11.9809,0.799167,1.09917,2,3,0,12.3852,0.417234
-14.0487,0.872183,1.09917,2,3,0,14.0958,0.305366
-10.6485,1,1.09917,1,3,0,13.7012,0.581295
-11.4665,0.780252,1.09917,2,3,0,12.181,0.772623
-11.6321,0.971712,1.09917,1,1,0,11.7589,0.784254
-12.6981,0.845641,1.09917,1,1,0,12.7086,0.838388
-11.9834,1,1.09917,2,3,0,12.6733,0.805311
-10.8729,0.984664,1.09917,1,3,0,11.8114,0.713069
-10.9329,0.886369,1.09917,2,3,0,12.1309,0.521524
-10.8509,1,1.09917,1,1,0,10.9602,0.534697
-11.2504,0.794668,1.09917,1,3,0,12.3003,0.755096
-11.1829,1,1.09917,1,1,0,11.3413,0.748896
-11.3738,0.988441,1.09917,2,3,0,11.4471,0.765479
-11.2844,1,1.09917,1,1,0,11.4734,0.758068
-11.0446,0.874547,1.09917,1,3,0,12.5861,0.505862
-12.0941,0.769618,1.09917,1,1,0,12.0977,0.409134
-10.5875,0.983064,1.09917,1,3,0,12.1937,0.63352
