# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:20:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpzkd5glb9\cvoez78r.json
# init = 2 (Default)
# random
#   seed = 69556
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202055_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.03657
# Diagonal elements of inverse mass matrix:
# 0.281016
-11.4182,0.871303,1.03657,1,1,0,11.4694,0.464213
-10.9494,1,1.03657,1,1,0,11.3239,0.519062
-10.6513,1,1.03657,1,1,0,10.8609,0.580338
-10.8,0.956871,1.03657,1,1,0,10.8038,0.543937
-11.2098,0.795152,1.03657,2,3,0,12.1322,0.751412
-10.6308,0.965232,1.03657,1,3,0,11.3547,0.587951
-11.7566,0.829405,1.03657,2,3,0,11.8637,0.792208
-11.5663,1,1.03657,1,1,0,11.8983,0.779786
-10.5872,0.993062,1.03657,1,3,0,11.4911,0.632897
-11.7258,0.759478,1.03657,2,3,0,12.2989,0.436937
-10.6546,0.977337,1.03657,1,3,0,11.8557,0.669328
-10.9623,0.965461,1.03657,2,3,0,10.9845,0.517184
-12.2485,0.59276,1.03657,1,3,0,13.8112,0.818822
-13.1649,0.858665,1.03657,1,1,0,13.3016,0.855413
-12.2686,1,1.03657,1,1,0,13.1592,0.819776
-11.3932,0.832954,1.03657,2,7,0,14.0469,0.466652
-10.7641,1,1.03657,1,1,0,11.2071,0.551102
-11.1333,0.809203,1.03657,2,3,0,11.9745,0.74407
-10.732,1,1.03657,1,1,0,11.0337,0.688808
-11.2102,0.853717,1.03657,1,3,0,11.6495,0.485829
-10.6828,1,1.03657,2,3,0,11.1186,0.677339
-13.3039,0.476472,1.03657,1,3,0,14.1593,0.338884
-10.6685,1,1.03657,1,3,0,13.3608,0.673463
-10.81,0.98794,1.03657,2,3,0,10.8141,0.70331
-10.5857,0.995037,1.03657,2,3,0,10.8364,0.629495
