# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:22:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpb1zv3q3r\gqjg1d7z.json
# init = 2 (Default)
# random
#   seed = 90307
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202214_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.925492
# Diagonal elements of inverse mass matrix:
# 0.280918
-10.5868,0.891054,0.925492,2,3,0,11.3769,0.632177
-10.6784,0.980377,0.925492,1,3,0,10.6976,0.676192
-10.7897,0.992391,0.925492,2,3,0,10.7921,0.699841
-10.9725,0.964468,0.925492,1,1,0,10.9814,0.726327
-11.1888,0.857787,0.925492,2,7,0,12.3885,0.488251
-10.9598,1,0.925492,1,1,0,11.178,0.517551
-10.9598,0.200651,0.925492,1,3,0,17.7576,0.517551
-10.8071,0.862138,0.925492,2,3,0,12.1894,0.702822
-10.8895,0.98374,0.925492,1,1,0,10.916,0.715454
-10.5862,0.990739,0.925492,1,3,0,10.961,0.619186
-10.627,0.988524,0.925492,1,3,0,10.6516,0.659606
-10.8765,0.977856,0.925492,2,3,0,10.8769,0.5304
-10.5856,0.99631,0.925492,1,3,0,10.8842,0.620706
-10.6097,0.966768,0.925492,2,3,0,10.8043,0.651599
-10.7567,0.95212,0.925492,1,3,0,10.9143,0.552666
-10.662,0.972334,0.925492,2,3,0,11.0185,0.671578
-10.7144,0.989042,0.925492,1,1,0,10.7204,0.684979
-10.6382,0.981818,0.925492,1,3,0,10.9022,0.585019
-10.6377,1,0.925492,1,1,0,10.6501,0.585242
-10.7431,0.991834,0.925492,2,3,0,10.7435,0.555628
