# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:22:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpb1zv3q3r\gqjg1d7z.json
# init = 2 (Default)
# random
#   seed = 90307
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202214_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.01558
# Diagonal elements of inverse mass matrix:
# 0.294743
-10.8603,1,1.01558,1,1,0,11.5267,0.533099
-10.8152,0.912957,1.01558,2,3,0,11.4543,0.70417
-10.6366,0.976339,1.01558,2,3,0,11.0045,0.663284
-10.7675,0.965715,1.01558,1,1,0,10.7683,0.695824
-10.737,1,1.01558,1,1,0,10.7938,0.689851
-10.6381,0.981642,1.01558,1,3,0,10.8497,0.585084
-10.5939,1,1.01558,1,3,0,10.6252,0.608821
-11.0375,0.87903,1.01558,1,3,0,11.1929,0.733943
-11.4906,0.902151,1.01558,1,1,0,11.525,0.774396
-12.9593,0.902071,1.01558,2,3,0,12.9598,0.356497
-14.4698,0.66862,1.01558,1,1,0,14.8918,0.288618
-10.6067,0.884775,1.01558,2,3,0,15.2292,0.599608
-10.5918,1,1.01558,1,1,0,10.6027,0.610791
-11.5084,0.766443,1.01558,1,3,0,11.8036,0.775695
-10.606,0.965736,1.01558,1,3,0,11.5925,0.600006
-10.6202,0.995843,1.01558,1,1,0,10.624,0.592548
-10.6079,0.868617,1.01558,2,3,0,11.3321,0.65066
-10.6005,0.91022,1.01558,2,3,0,11.1436,0.64611
-10.6005,0.886288,1.01558,1,3,0,11.0162,0.64611
-10.8783,0.934407,1.01558,2,3,0,11.06,0.713855
-10.5922,0.988909,1.01558,2,3,0,10.9478,0.639427
-10.5922,0.567489,1.01558,1,3,0,12.4292,0.639427
-10.6927,0.97748,1.01558,1,3,0,10.6963,0.679866
-10.7334,0.989373,1.01558,1,1,0,10.7544,0.689091
-10.5853,0.996305,1.01558,2,3,0,10.7532,0.627668
-11.8786,0.706531,1.01558,1,3,0,12.0669,0.424876
-10.6628,1,1.01558,1,3,0,11.5375,0.576573
-10.957,0.915542,1.01558,1,1,0,10.9579,0.517955
-10.5874,0.989384,1.01558,2,3,0,11.0199,0.633396
-10.6385,0.683907,1.01558,2,3,0,12.6438,0.663967
-10.5906,0.972817,1.01558,2,3,0,10.8085,0.61213
-10.7736,0.956192,1.01558,1,3,0,10.7828,0.549133
-10.7736,0.853882,1.01558,1,3,0,11.5627,0.549133
-10.8478,0.844779,1.01558,2,3,0,11.6501,0.535237
-10.5909,0.997951,1.01558,2,3,0,10.8645,0.638023
-10.6261,0.988904,1.01558,1,3,0,10.6489,0.589931
-10.6062,0.993918,1.01558,1,3,0,10.6681,0.649679
-10.6416,0.832265,1.01558,2,3,0,11.6327,0.665043
-10.7265,0.97756,1.01558,1,1,0,10.7305,0.687648
-10.7265,0.856492,1.01558,1,3,0,11.3432,0.687648
-11.0588,0.97318,1.01558,2,3,0,11.0606,0.7363
-10.854,1,1.01558,1,1,0,11.0413,0.710279
-10.854,0.647198,1.01558,1,3,0,12.8681,0.710279
-10.6484,0.945951,1.01558,2,3,0,11.2705,0.581315
-11.3988,0.836142,1.01558,1,3,0,11.4087,0.466099
-10.6083,0.920422,1.01558,2,3,0,11.9191,0.598631
-10.5933,0.987758,1.01558,2,3,0,10.6797,0.64049
-10.6446,0.989198,1.01558,1,3,0,10.6449,0.666081
-11.1791,0.852073,1.01558,1,3,0,11.4466,0.489356
-11.982,0.785027,1.01558,1,1,0,12.0571,0.417151
-10.9687,0.886838,1.01558,1,3,0,12.8269,0.72586
-12.3237,0.650808,1.01558,1,3,0,13.4924,0.393719
-12.3237,0.860492,1.01558,1,1,0,13.119,0.393719
-13.6868,0.682718,1.01558,1,1,0,13.9793,0.320964
-12.2115,1,1.01558,1,1,0,13.5231,0.401091
-11.4665,1,1.01558,1,1,0,12.1428,0.459618
-10.7586,1,1.01558,2,3,0,11.3274,0.694152
-12.7345,0.561158,1.01558,1,3,0,13.62,0.368877
-11.103,1,1.01558,2,3,0,12.4017,0.740988
-10.7642,0.594543,1.01558,2,3,0,15.1509,0.69521
-11.6911,0.899297,1.01558,2,3,0,11.7865,0.4398
-11.0867,1,1.01558,1,1,0,11.5783,0.500455
-10.7869,0.946385,1.01558,1,3,0,11.5069,0.69936
-14.1374,0.618381,1.01558,2,3,0,14.8751,0.301717
-13.7911,1,1.01558,1,1,0,14.8947,0.316343
-13.4323,1,1.01558,1,1,0,14.4471,0.332697
-13.8202,0.90185,1.01558,1,1,0,14.5657,0.315072
-11.7058,1,1.01558,1,1,0,13.295,0.438583
-11.4674,1,1.01558,1,1,0,11.8576,0.45953
-12.0277,0.845656,1.01558,1,1,0,12.2042,0.413846
-11.1664,1,1.01558,2,3,0,11.8065,0.747315
-11.4064,0.947716,1.01558,1,1,0,11.4971,0.768047
-10.7653,0.931826,1.01558,1,3,0,11.8522,0.550846
-10.6342,1,1.01558,2,3,0,10.7318,0.662392
-10.6088,1,1.01558,1,1,0,10.63,0.651123
-14.1778,0.342595,1.01558,1,3,0,15.18,0.88449
-10.5899,0.903942,1.01558,1,3,0,14.5236,0.613014
-10.5899,0.9775,1.01558,1,3,0,10.6608,0.613014
-10.5961,0.997189,1.01558,1,3,0,10.6078,0.642906
-11.1516,0.894066,1.01558,2,3,0,11.3597,0.492572
-11.3409,0.944145,1.01558,1,1,0,11.4787,0.471883
-10.78,1,1.01558,2,3,0,11.209,0.698118
-10.8956,0.990418,1.01558,2,3,0,10.9252,0.716304
-10.8191,0.948809,1.01558,2,3,0,11.4227,0.704816
-10.8191,0.57697,1.01558,1,3,0,13.0019,0.704816
-11.9705,0.811557,1.01558,1,3,0,11.9898,0.804611
-10.6292,1,1.01558,1,3,0,11.7794,0.660477
-10.6999,0.981153,1.01558,1,1,0,10.7028,0.681617
-10.8351,0.965592,1.01558,1,1,0,10.8453,0.707369
-10.6216,0.980773,1.01558,1,3,0,10.9262,0.591905
-11.9178,0.720878,1.01558,1,3,0,11.979,0.421907
-10.8565,1,1.01558,1,1,0,11.5994,0.533753
-10.7822,0.955252,1.01558,1,3,0,11.2377,0.69852
-10.6216,0.98292,1.01558,1,3,0,10.869,0.591931
-10.8225,0.933631,1.01558,1,3,0,10.9761,0.705363
-10.5855,0.996519,1.01558,1,3,0,10.8092,0.62136
-10.5852,0.842884,1.01558,2,3,0,11.4717,0.6274
-10.5938,0.998381,1.01558,2,3,0,10.5963,0.608883
-10.6268,0.990432,1.01558,1,1,0,10.6268,0.589624
-10.6268,0.615763,1.01558,1,3,0,12.3514,0.589624
-13.0818,0.529523,1.01558,1,3,0,13.2425,0.350057
-11.2183,1,1.01558,1,1,0,12.5479,0.484926
-11.4312,0.937492,1.01558,1,1,0,11.5851,0.462967
-10.7581,0.947988,1.01558,1,3,0,11.8097,0.694045
-12.2812,0.73014,1.01558,1,3,0,12.3642,0.820372
-12.4941,0.963312,1.01558,1,1,0,12.801,0.829961
-10.6003,0.98611,1.01558,1,3,0,12.362,0.645979
