# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:23:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmphugi83hl\qhw5x_jh.json
# init = 2 (Default)
# random
#   seed = 25312
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202304_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.20408
# Diagonal elements of inverse mass matrix:
# 0.229038
-10.9472,0.958199,1.20408,1,3,0,13.6692,0.723172
-14.6167,0.423129,1.20408,1,3,0,14.939,0.894665
-17.077,0.77007,1.20408,1,1,0,17.2088,0.935058
-11.9134,0.934468,1.20408,1,3,0,16.4749,0.80144
-10.6021,0.954018,1.20408,1,3,0,11.8758,0.602451
-10.8584,0.951134,1.20408,2,3,0,10.9172,0.710937
-11.3331,0.883604,1.20408,1,1,0,11.3481,0.762176
-12.4548,0.780554,1.20408,1,1,0,12.4808,0.828256
-10.9003,1,1.20408,1,3,0,12.0882,0.716958
-13.6312,0.626881,1.20408,2,3,0,14.7942,0.86992
-11.433,0.98189,1.20408,1,3,0,13.179,0.770096
-11.075,1,1.20408,1,1,0,11.4123,0.738041
-10.6687,0.962206,1.20408,1,3,0,11.2128,0.574727
-10.699,0.990198,1.20408,1,1,0,10.7212,0.566224
-10.5943,0.967018,1.20408,2,3,0,10.8609,0.608406
-10.8388,0.868125,1.20408,2,3,0,11.26,0.707957
-10.7449,1,1.20408,2,3,0,10.8429,0.691455
-10.7449,0.610585,1.20408,1,3,0,12.4267,0.691455
-11.1057,0.966151,1.20408,2,3,0,11.131,0.498097
-10.6444,0.979717,1.20408,1,3,0,11.1665,0.666015
-10.8495,0.942638,1.20408,1,1,0,10.8502,0.709597
-10.7647,1,1.20408,1,1,0,10.8627,0.695307
-10.5978,0.980793,1.20408,2,3,0,10.8877,0.644251
-11.445,0.805027,1.20408,1,3,0,11.5262,0.771008
-12.1998,0.847233,1.20408,1,1,0,12.2795,0.816466
-11.0182,1,1.20408,1,1,0,11.9171,0.731751
-13.4556,0.722102,1.20408,2,3,0,13.988,0.331594
-13.6017,0.958118,1.20408,1,1,0,14.4868,0.324812
-10.5983,1,1.20408,1,3,0,12.8081,0.605146
-11.0087,0.781335,1.20408,2,3,0,11.7475,0.730657
-10.9784,1,1.20408,1,1,0,11.1045,0.727053
-10.5937,0.977885,1.20408,2,3,0,11.1129,0.640893
-12.2967,0.626442,1.20408,1,3,0,12.5669,0.821099
-11.0564,1,1.20408,1,1,0,12.0041,0.736039
-10.9493,1,1.20408,1,1,0,11.1088,0.72344
-10.625,0.770906,1.20408,2,3,0,12.5794,0.658759
-10.7807,0.952895,1.20408,1,3,0,10.8833,0.547706
-11.0152,0.925411,1.20408,1,1,0,11.0508,0.50978
-10.9339,1,1.20408,1,1,0,11.0897,0.521379
-10.651,0.851586,1.20408,2,3,0,11.6457,0.580443
