# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:23:04 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmphugi83hl\qhw5x_jh.json
# init = 2 (Default)
# random
#   seed = 25312
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202304_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.942546
# Diagonal elements of inverse mass matrix:
# 0.284273
-10.591,1,0.942546,2,3,0,11.6167,0.638221
-11.0395,0.934324,0.942546,2,3,0,11.1307,0.734162
-10.5895,1,0.942546,2,3,0,10.9662,0.61354
-10.7049,0.87381,0.942546,2,3,0,11.4027,0.682798
-10.6575,1,0.942546,1,1,0,10.7014,0.670238
-10.6691,0.940179,0.942546,2,3,0,11.149,0.574621
-10.785,0.971623,0.942546,1,1,0,10.789,0.546851
-10.7723,0.946302,0.942546,1,3,0,11.265,0.696717
-10.8439,0.934009,0.942546,1,3,0,11.3544,0.535919
-11.2774,0.845217,0.942546,2,3,0,12.1254,0.478487
-12.3331,0.768851,0.942546,1,1,0,12.3618,0.393112
-11.2031,1,0.942546,1,1,0,12.0663,0.486621
-11.4308,0.98142,0.942546,2,3,0,11.5379,0.463
-12.7681,0.719356,0.942546,1,1,0,12.7987,0.366975
-11.4692,1,0.942546,2,7,0,12.5838,0.772822
-10.6391,1,0.942546,2,3,0,11.2875,0.584704
-11.1597,0.833141,0.942546,1,3,0,11.641,0.746675
-11.1643,0.999713,0.942546,2,3,0,11.2825,0.747112
-10.9175,1,0.942546,2,3,0,11.1368,0.719283
-10.5873,1,0.942546,2,3,0,10.9034,0.633131
-10.6039,0.996936,0.942546,1,3,0,10.6046,0.648308
-11.9723,0.721402,0.942546,1,3,0,12.3578,0.804707
-10.9009,0.994258,0.942546,2,7,0,11.7467,0.526466
-10.9377,0.990752,0.942546,1,1,0,11.0076,0.520796
-10.9377,0.929712,0.942546,1,1,0,11.1911,0.520796
-10.5946,0.990245,0.942546,2,3,0,11.0059,0.608128
-10.6416,0.982936,0.942546,1,3,0,10.6958,0.665042
-11.1588,0.85457,0.942546,1,3,0,11.5592,0.491717
-10.6142,1,0.942546,2,3,0,11.0682,0.653907
-10.67,0.987449,0.942546,1,1,0,10.6702,0.673886
-10.67,0.849223,0.942546,1,3,0,11.5571,0.673886
-10.8011,0.971788,0.942546,1,1,0,10.8024,0.701822
-10.8093,0.971018,0.942546,2,3,0,11.1507,0.703197
-10.847,0.965743,0.942546,2,3,0,11.2075,0.709212
-10.847,0.648828,0.942546,1,3,0,13.3976,0.709212
-10.8763,0.963865,0.942546,2,3,0,11.2841,0.713562
-10.6452,0.998261,0.942546,1,3,0,10.829,0.666304
-10.7047,0.986866,0.942546,1,1,0,10.7082,0.682764
-11.5657,0.861462,0.942546,1,3,0,11.6335,0.779745
-11.2682,1,0.942546,1,1,0,11.5782,0.756659
-10.6071,0.998175,0.942546,2,3,0,11.2716,0.650214
-10.6733,0.98429,0.942546,2,3,0,10.7387,0.674813
-10.621,1,0.942546,1,1,0,10.6624,0.657047
-10.9608,0.965537,0.942546,2,3,0,10.9708,0.517402
-10.8075,1,0.942546,1,1,0,10.9492,0.542502
-10.6339,0.979548,0.942546,2,3,0,10.9697,0.586713
-11.0404,0.924634,0.942546,1,3,0,11.0548,0.506406
-10.9685,1,0.942546,1,1,0,11.1015,0.516282
-11.7427,0.822807,0.942546,1,1,0,11.7494,0.435566
-13.1914,0.704725,0.942546,1,1,0,13.2573,0.34447
-11.4501,1,0.942546,1,1,0,12.7774,0.461165
-11.7868,0.919357,0.942546,1,1,0,11.9332,0.432026
-11.7868,0.564737,0.942546,1,1,0,13.6348,0.432026
-10.9903,0.824147,0.942546,1,3,0,13.1792,0.728486
-10.5881,0.9888,0.942546,1,3,0,11.0776,0.615502
-10.5933,0.99088,0.942546,2,3,0,10.6469,0.640533
-11.7363,0.84621,0.942546,2,3,0,11.8837,0.790952
-11.7484,0.999326,0.942546,2,3,0,11.967,0.791704
-10.7505,0.996561,0.942546,2,7,0,11.5204,0.554013
-10.6569,1,0.942546,1,1,0,10.7311,0.578461
-11.159,0.83047,0.942546,1,3,0,11.6911,0.746602
-10.6839,0.995085,0.942546,1,3,0,11.0742,0.677631
-10.6978,0.930327,0.942546,2,3,0,11.2817,0.566545
-11.6278,0.83555,0.942546,1,3,0,11.6586,0.445147
