# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:23:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpbbcmznqt\77foye_l.json
# init = 2 (Default)
# random
#   seed = 10021
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202340_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.91457
# Diagonal elements of inverse mass matrix:
# 0.298554
-11.0818,0.989458,0.91457,1,1,0,11.1591,0.738767
-11.6678,0.965998,0.91457,2,3,0,11.6745,0.786593
-11.8652,0.989356,0.91457,2,3,0,12.0149,0.798686
-10.6711,0.94397,0.91457,2,3,0,12.586,0.574031
-10.6382,0.980124,0.91457,1,3,0,10.824,0.663859
-10.8616,0.73537,0.91457,2,3,0,12.6916,0.711422
-11.1177,0.950179,0.91457,1,1,0,11.1299,0.7425
-11.9638,0.858938,0.91457,1,1,0,11.9638,0.80424
-11.3556,1,0.91457,1,1,0,11.8885,0.764013
-11.207,0.840802,0.91457,1,3,0,13.0245,0.486188
-10.8893,1,0.91457,1,1,0,11.1514,0.52831
-10.9755,0.99292,0.91457,2,3,0,11.0313,0.515293
-11.1475,0.985985,0.91457,2,3,0,11.2086,0.493048
-12.3131,0.749617,0.91457,1,1,0,12.3202,0.394401
-11.8311,0.824436,0.91457,2,3,0,14.7988,0.428541
-13.5211,0.890127,0.91457,2,3,0,13.5758,0.328525
-12.7372,1,0.91457,1,1,0,13.6881,0.368722
-12.7937,1,0.91457,2,7,0,12.7938,0.842113
-10.6398,1,0.91457,2,3,0,12.3386,0.584417
-10.5913,1,0.91457,2,3,0,10.6291,0.63849
-10.5861,0.965224,0.91457,2,3,0,10.821,0.630725
-10.6142,0.923543,0.91457,2,3,0,11.0888,0.653927
-10.6328,0.995832,0.91457,1,1,0,10.6357,0.661864
-10.6593,0.994131,0.91457,1,1,0,10.6646,0.670769
-10.6593,0.789973,0.91457,1,3,0,11.8767,0.670769
-10.6816,0.898647,0.91457,2,3,0,11.4835,0.570966
-10.5879,1,0.91457,2,3,0,10.6669,0.634231
-10.9258,0.924591,0.91457,1,3,0,11.0103,0.720396
-10.5851,1,0.91457,2,3,0,10.8855,0.623196
-10.6118,0.995788,0.91457,2,3,0,10.6185,0.596756
-10.6764,0.984484,0.91457,1,1,0,10.6764,0.57245
-10.6258,1,0.91457,1,1,0,10.6662,0.590068
