# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:23:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpbbcmznqt\77foye_l.json
# init = 2 (Default)
# random
#   seed = 10021
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202340_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.11752
# Diagonal elements of inverse mass matrix:
# 0.281887
-10.5871,0.976977,1.11752,2,3,0,10.7598,0.63289
-10.5871,0.95334,1.11752,1,3,0,10.7257,0.63289
-11.671,0.735247,1.11752,1,3,0,11.7692,0.441482
-11.2225,1,1.11752,1,1,0,11.682,0.484454
-11.6991,0.363977,1.11752,2,3,0,15.0798,0.788608
-11.0357,0.901841,1.11752,2,3,0,12.8346,0.733738
-12.3745,0.715031,1.11752,1,1,0,12.3756,0.824681
-10.5919,0.943274,1.11752,1,3,0,12.1811,0.610756
-10.9684,0.907771,1.11752,2,3,0,11.1271,0.725831
-11.9785,0.745887,1.11752,1,3,0,12.7196,0.417411
-10.6964,1,1.11752,1,3,0,11.5303,0.566914
-10.7102,0.998412,1.11752,2,3,0,10.7462,0.563374
-10.8266,0.960293,1.11752,1,1,0,10.8559,0.538993
-11.8781,0.691549,1.11752,1,1,0,11.8936,0.424916
-11.156,1,1.11752,1,1,0,11.7473,0.492052
-10.7852,0.647052,1.11752,2,3,0,12.9364,0.546804
-11.6293,0.743622,1.11752,1,1,0,11.643,0.445018
-10.9931,1,1.11752,2,3,0,11.4855,0.728819
-10.673,1,1.11752,2,3,0,10.9251,0.573451
-12.3955,0.616145,1.11752,1,3,0,12.4052,0.389137
-11.0593,1,1.11752,2,3,0,12.2817,0.736349
-11.1616,0.711921,1.11752,2,3,0,13.2652,0.491391
-10.6274,0.975366,1.11752,2,3,0,11.309,0.659773
-10.6731,0.985812,1.11752,1,1,0,10.6806,0.674749
-10.811,0.986367,1.11752,2,3,0,10.8217,0.703477
-10.9957,0.980525,1.11752,2,3,0,10.9963,0.512453
-11.5622,0.819514,1.11752,1,1,0,11.6464,0.450876
-10.6377,0.707321,1.11752,2,3,0,13.0007,0.585234
-10.5911,0.997323,1.11752,1,3,0,10.6404,0.638303
-10.7446,0.855669,1.11752,2,3,0,11.2982,0.555304
-10.7446,0.389331,1.11752,1,3,0,13.8303,0.555304
