# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:23:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpexfyb3s3\9b0tj7c_.json
# init = 2 (Default)
# random
#   seed = 74787
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202352_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.02466
# Diagonal elements of inverse mass matrix:
# 0.285159
-11.0933,0.897282,1.02466,1,3,0,11.6793,0.49963
-10.6832,1,1.02466,2,3,0,10.9721,0.570494
-10.634,0.963573,1.02466,2,3,0,10.8987,0.586654
-10.8016,0.981332,1.02466,2,3,0,10.8046,0.701907
-10.5857,0.996466,1.02466,1,3,0,10.7949,0.620517
-10.6076,0.967366,1.02466,2,3,0,10.7622,0.65047
-10.6244,0.837433,1.02466,2,3,0,11.6255,0.658523
-11.3797,0.804852,1.02466,1,3,0,11.6589,0.467981
-10.9009,1,1.02466,1,1,0,11.2702,0.526456
-10.8877,1,1.02466,1,1,0,10.9834,0.528579
-10.8589,1,1.02466,1,1,0,10.954,0.533336
-11.2989,0.876735,1.02466,1,1,0,11.3261,0.476215
-10.6428,0.977319,1.02466,1,3,0,11.4288,0.665466
-10.7004,0.973866,1.02466,1,3,0,10.8324,0.565859
-10.8476,0.98579,1.02466,2,3,0,10.8615,0.535271
-11.1706,0.907975,1.02466,1,1,0,11.2046,0.490341
-10.7066,1,1.02466,1,1,0,11.0338,0.564268
-10.5866,0.998916,1.02466,2,3,0,10.7142,0.63188
-10.9302,0.927854,1.02466,2,3,0,11.0786,0.521937
-11.0706,0.95887,1.02466,1,1,0,11.1482,0.5025
-10.6081,0.988104,1.02466,1,3,0,11.1146,0.650765
-10.7087,0.967509,1.02466,1,3,0,10.789,0.563744
-10.8722,0.9527,1.02466,1,1,0,10.8867,0.531099
-11.1983,0.907116,1.02466,1,1,0,11.238,0.487174
-10.6232,1,1.02466,2,3,0,11.1657,0.658025
-10.6518,0.734919,1.02466,2,3,0,12.4162,0.668443
-11.0705,0.87832,1.02466,1,3,0,11.3347,0.502506
-11.3366,0.923471,1.02466,1,1,0,11.4367,0.472313
-11.3366,0.757324,1.02466,1,1,0,12.097,0.472313
-10.8357,1,1.02466,1,1,0,11.2054,0.537355
-11.2259,0.889941,1.02466,1,1,0,11.2516,0.484077
-10.6278,0.98163,1.02466,1,3,0,11.3183,0.659925
-10.7384,0.961428,1.02466,1,3,0,10.8617,0.556679
-10.724,0.911662,1.02466,2,3,0,11.2443,0.560021
-10.724,0.893032,1.02466,1,3,0,11.2996,0.560021
-11.9414,0.649082,1.02466,1,3,0,12.8499,0.803003
-12.1002,0.970819,1.02466,1,1,0,12.3571,0.811478
-11.8267,1,1.02466,1,1,0,12.2544,0.796432
-12.4426,0.892924,1.02466,1,1,0,12.5737,0.82772
-12.8985,0.928014,1.02466,1,1,0,13.1591,0.846048
-10.7669,0.991454,1.02466,1,3,0,12.5953,0.695719
-10.8824,0.990529,1.02466,2,3,0,10.9082,0.714449
-11.3069,0.876899,1.02466,2,3,0,12.0446,0.759986
-10.8915,1,1.02466,1,1,0,11.2245,0.715732
-12.6335,0.730117,1.02466,1,3,0,12.6996,0.835791
-11.8103,1,1.02466,1,1,0,12.5765,0.795457
-11.8103,0.964486,1.02466,1,1,0,12.1879,0.795457
-11.4477,1,1.02466,1,1,0,11.8539,0.771213
-12.0113,0.893009,1.02466,1,1,0,12.093,0.806818
-11.243,1,1.02466,1,1,0,11.8789,0.754436
-11.6889,0.909573,1.02466,1,1,0,11.7558,0.787957
-10.9645,0.809878,1.02466,2,3,0,14.5046,0.516861
-10.6988,1,1.02466,2,3,0,10.895,0.681358
-10.6158,0.497116,1.02466,2,3,0,15.2864,0.654682
-10.6412,0.968513,1.02466,2,3,0,10.8184,0.583896
-11.8727,0.669464,1.02466,1,3,0,12.525,0.799118
-10.6691,1,1.02466,1,3,0,11.666,0.673624
-10.6758,0.998229,1.02466,1,1,0,10.6969,0.67549
-10.9914,0.900439,1.02466,1,3,0,11.2759,0.513054
-11.6312,0.826021,1.02466,1,1,0,11.6728,0.444855
-10.5852,0.957992,1.02466,2,3,0,11.8844,0.627444
-10.619,0.992162,1.02466,2,3,0,10.6361,0.656183
-10.619,0.572115,1.02466,2,3,0,13.7768,0.656183
-10.5851,0.998957,1.02466,2,3,0,10.6249,0.626426
-10.6344,0.909232,1.02466,2,3,0,11.0946,0.66248
-10.592,0.879639,1.02466,2,3,0,11.3879,0.639186
-11.2078,0.881173,1.02466,2,3,0,11.4487,0.4861
-11.3827,0.983032,1.02466,2,3,0,11.536,0.467692
-10.7931,1,1.02466,2,3,0,11.2138,0.545267
-11.44,0.92901,1.02466,2,3,0,11.4454,0.462123
-10.6617,1,1.02466,1,3,0,11.2179,0.576924
-10.6233,0.989022,1.02466,1,3,0,10.7408,0.658054
-10.6369,0.982932,1.02466,2,3,0,10.7486,0.663399
-10.5971,1,1.02466,1,1,0,10.6261,0.643657
-11.0522,0.897184,1.02466,1,3,0,11.0988,0.735575
-11.3251,0.94014,1.02466,1,1,0,11.3848,0.761512
-12.2539,0.828812,1.02466,1,1,0,12.2762,0.819077
-12.2539,0.775065,1.02466,1,1,0,13.6446,0.819077
-12.5535,0.949631,1.02466,1,1,0,12.8257,0.832484
-11.7453,0.917827,1.02466,2,3,0,14.0393,0.791507
-11.1209,0.908278,1.02466,2,3,0,12.9295,0.496243
-10.6527,1,1.02466,1,3,0,10.9839,0.579858
-10.6525,1,1.02466,1,1,0,10.6721,0.579925
-10.5889,1,1.02466,1,3,0,10.6364,0.614288
-10.5863,0.999132,1.02466,2,3,0,10.5949,0.618752
-12.4317,0.614031,1.02466,1,3,0,12.6657,0.386875
-10.6478,1,1.02466,1,3,0,11.9815,0.581543
-10.5937,1,1.02466,1,3,0,10.6324,0.608951
-10.6761,0.981562,1.02466,1,3,0,10.6772,0.572527
-10.6934,0.998318,1.02466,2,3,0,10.7165,0.567717
-13.9397,0.55003,1.02466,2,3,0,14.0532,0.878428
-15.2022,0.863638,1.02466,1,1,0,15.4432,0.906534
-15.1426,1,1.02466,1,1,0,15.9259,0.905403
-15.5181,0.987798,1.02466,2,3,0,16.13,0.912252
-14.8658,1,1.02466,1,1,0,15.9439,0.899931
-11.3146,0.952039,1.02466,1,3,0,14.427,0.760631
-11.3725,0.987529,1.02466,1,1,0,11.533,0.765376
-11.5177,0.989914,1.02466,2,3,0,11.6683,0.776357
