# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:23:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmpexfyb3s3\9b0tj7c_.json
# init = 2 (Default)
# random
#   seed = 74787
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202352_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.973052
# Diagonal elements of inverse mass matrix:
# 0.318253
-11.5291,0.982617,0.973052,1,1,0,11.712,0.777177
-11.3056,1,0.973052,1,1,0,11.6017,0.759879
-10.794,1,0.973052,1,1,0,11.1829,0.700595
-10.7491,1,0.973052,1,1,0,10.8165,0.692294
-11.0681,0.890758,0.973052,1,3,0,11.4914,0.502808
-11.8066,0.933769,0.973052,2,3,0,11.859,0.430458
-13.7346,0.57835,0.973052,1,1,0,13.8458,0.318832
-17.3179,0.430317,0.973052,1,1,0,17.5938,0.202737
-13.4311,1,0.973052,1,1,0,16.582,0.332755
-10.5901,1,0.973052,1,3,0,13.0983,0.637146
-10.5901,0.605066,0.973052,1,3,0,12.2349,0.637146
-10.6011,0.985008,0.973052,2,3,0,10.6749,0.60313
-10.5886,0.971489,0.973052,2,3,0,10.7542,0.635238
-10.6191,0.993364,0.973052,1,3,0,10.6196,0.656234
-10.6714,0.979168,0.973052,1,3,0,10.7558,0.57392
-10.5858,0.998976,0.973052,1,3,0,10.6677,0.629911
-10.6302,0.909838,0.973052,2,3,0,11.0919,0.660862
-10.6936,0.983211,0.973052,1,1,0,10.6971,0.680092
-10.6118,0.986248,0.973052,2,3,0,10.7984,0.652694
-10.6086,0.990669,0.973052,2,3,0,10.6788,0.651032
-11.7614,0.800082,0.973052,2,3,0,12.1746,0.434056
-10.6119,0.906705,0.973052,2,3,0,12.3926,0.596679
-10.6358,0.997684,0.973052,2,3,0,10.6399,0.58594
-10.6205,1,0.973052,1,1,0,10.6389,0.592425
-10.585,1,0.973052,1,3,0,10.6156,0.624389
-10.5852,0.999663,0.973052,2,3,0,10.5868,0.627488
-10.6892,0.97389,0.973052,1,3,0,10.705,0.678989
-10.6991,0.89119,0.973052,2,3,0,11.4111,0.566193
-11.9689,0.739516,0.973052,1,3,0,11.9849,0.418112
-11.7568,1,0.973052,1,1,0,12.2161,0.434425
-10.9096,1,0.973052,2,3,0,11.5556,0.71823
-10.675,0.966299,0.973052,1,3,0,11.1176,0.572867
-11.1897,0.891898,0.973052,1,3,0,11.1899,0.48815
-10.5896,0.998579,0.973052,1,3,0,11.148,0.636607
-10.8086,0.948618,0.973052,1,3,0,10.8298,0.703076
-11.2182,0.905695,0.973052,1,1,0,11.2239,0.75219
-10.6486,1,0.973052,2,3,0,11.0942,0.581268
-10.7171,0.979991,0.973052,1,1,0,10.7259,0.561667
-10.5894,1,0.973052,1,3,0,10.6867,0.613673
-10.9239,0.919503,0.973052,1,3,0,10.9498,0.522889
-10.7532,1,0.973052,1,1,0,10.898,0.553421
-10.7162,1,0.973052,1,1,0,10.7739,0.561898
-10.5851,1,0.973052,1,3,0,10.6958,0.623019
-10.5854,0.881648,0.973052,2,3,0,11.2433,0.621825
-10.9101,0.916941,0.973052,2,3,0,11.1108,0.525013
-11.3351,0.680928,0.973052,2,3,0,12.9375,0.472476
-10.7608,1,0.973052,1,1,0,11.1667,0.551807
-11.1781,0.763785,0.973052,2,3,0,12.2565,0.748438
-10.6419,0.963164,0.973052,1,3,0,11.3491,0.58366
-10.7501,0.968571,0.973052,1,1,0,10.7543,0.554085
-11.6885,0.810747,0.973052,1,3,0,11.6887,0.440019
-11.3813,0.773925,0.973052,1,3,0,13.3429,0.766075
-11.2247,1,0.973052,2,3,0,11.4654,0.752785
-12.5795,0.919169,0.973052,2,3,0,12.5795,0.833572
-11.3273,0.933981,0.973052,2,3,0,13.6058,0.761695
-11.3036,0.914331,0.973052,2,3,0,12.5204,0.759704
-10.7896,1,0.973052,1,1,0,11.1799,0.699835
-10.6517,1,0.973052,1,1,0,10.7555,0.668428
-10.6098,0.988639,0.973052,2,3,0,10.7396,0.651684
-10.6077,1,0.973052,1,1,0,10.6151,0.65053
-10.6416,0.990823,0.973052,1,1,0,10.6433,0.665065
-11.9261,0.692796,0.973052,1,3,0,12.3617,0.421288
-10.59,0.961067,0.973052,2,3,0,12.1612,0.637013
-11.3334,0.827179,0.973052,1,3,0,11.4558,0.762195
-10.7432,0.9971,0.973052,1,3,0,11.1898,0.691109
-10.6054,0.988525,0.973052,1,3,0,10.796,0.600357
-10.59,0.998051,0.973052,1,3,0,10.6167,0.637081
-10.6032,0.975376,0.973052,2,3,0,10.7274,0.601731
-10.5853,1,0.973052,1,3,0,10.5997,0.622302
-10.5863,0.987881,0.973052,2,3,0,10.649,0.618823
-10.5873,0.999722,0.973052,1,1,0,10.5875,0.616814
-10.6136,0.969911,0.973052,2,3,0,10.7489,0.653631
-10.7005,0.970417,0.973052,1,3,0,10.7864,0.565842
-10.692,0.867189,0.973052,2,3,0,11.4511,0.679687
-11.0388,0.890774,0.973052,1,3,0,11.3608,0.506613
-10.9469,0.785785,0.973052,2,3,0,12.3913,0.519437
-10.9194,1,0.973052,1,1,0,11.0325,0.523585
-11.1214,0.940975,0.973052,1,1,0,11.1883,0.496177
-11.1868,0.851194,0.973052,2,3,0,12.2767,0.749271
-11.1775,1,0.973052,1,1,0,11.329,0.748384
-10.5984,0.97869,0.973052,1,3,0,11.2267,0.605065
-10.6109,0.996384,0.973052,1,1,0,10.6129,0.597191
-10.5852,0.998413,0.973052,2,3,0,10.6201,0.622642
-10.5851,0.998566,0.973052,2,3,0,10.5928,0.623704
-10.6499,0.701188,0.973052,2,3,0,12.4619,0.66783
-11.4821,0.880385,0.973052,2,3,0,11.6573,0.458161
-11.4318,0.751993,0.973052,1,3,0,13.1803,0.770005
-10.9545,1,0.973052,1,1,0,11.3406,0.724091
-10.7339,1,0.973052,1,1,0,10.9072,0.689199
-11.7518,0.809204,0.973052,2,3,0,12.376,0.79191
-12.6238,0.851093,0.973052,1,1,0,12.7036,0.835397
-11.4579,1,0.973052,2,3,0,12.4142,0.771976
-10.9638,1,0.973052,2,3,0,11.363,0.725252
-11.3341,0.855678,0.973052,1,3,0,12.1778,0.472571
-11.0396,1,0.973052,1,1,0,11.3344,0.506515
-10.7351,1,0.973052,1,1,0,10.9593,0.557434
-10.6846,0.975204,0.973052,1,3,0,10.9315,0.677831
-13.3901,0.465783,0.973052,1,3,0,14.2768,0.334709
-11.4254,1,0.973052,1,1,0,12.8607,0.46352
-10.7399,1,0.973052,1,1,0,11.2202,0.556348
-10.6195,1,0.973052,1,1,0,10.705,0.592877
-10.5898,1,0.973052,1,3,0,10.6111,0.613106
-10.6,0.997066,0.973052,1,1,0,10.6003,0.603866
-12.1545,0.620441,0.973052,1,3,0,12.7518,0.814226
-11.1368,1,0.973052,2,3,0,11.9418,0.744418
-11.4262,0.937663,0.973052,1,1,0,11.5005,0.769576
-11.6903,0.946543,0.973052,1,1,0,11.8258,0.788044
-12.4243,0.956806,0.973052,2,3,0,12.5167,0.82691
-11.6253,1,0.973052,2,3,0,12.3454,0.7838
-11.6253,0.861169,0.973052,1,1,0,12.3336,0.7838
-10.698,0.936093,0.973052,1,3,0,11.9811,0.566492
-11.2286,0.853268,0.973052,1,1,0,11.2287,0.483779
-11.1895,1,0.973052,1,1,0,11.3898,0.488173
-10.729,1,0.973052,1,1,0,11.055,0.558834
-12.382,0.762157,0.973052,2,3,0,12.4483,0.825022
-10.6876,1,0.973052,1,3,0,12.1309,0.678584
-10.5859,0.999954,0.973052,2,3,0,10.6865,0.61999
-11.3764,0.813306,0.973052,1,3,0,11.4709,0.468316
-10.6137,1,0.973052,2,3,0,11.3916,0.653651
-10.6137,0.858483,0.973052,1,3,0,11.1527,0.653651
-10.7247,0.96303,0.973052,2,3,0,10.8731,0.687264
-10.8232,0.951821,0.973052,1,3,0,11.1198,0.539599
-10.966,0.800484,0.973052,2,3,0,12.0026,0.516642
-10.8393,0.830174,0.973052,2,3,0,11.999,0.53673
-10.6653,1,0.973052,2,3,0,10.7926,0.57578
-11.0424,0.814951,0.973052,2,3,0,11.7419,0.506147
-10.7357,0.957345,0.973052,1,3,0,11.3692,0.689583
-10.6187,1,0.973052,2,3,0,10.7044,0.656026
-10.5914,0.985591,0.973052,2,3,0,10.7104,0.611306
-10.6249,0.99284,0.973052,1,3,0,10.6249,0.590448
-10.5911,1,0.973052,2,3,0,10.6181,0.638325
-10.5933,0.999396,0.973052,1,1,0,10.5946,0.640499
-10.6078,0.924692,0.973052,2,3,0,11.0199,0.598964
-10.5857,1,0.973052,1,3,0,10.6028,0.6205
-10.5862,0.979593,0.973052,2,3,0,10.6932,0.619017
-11.7201,0.742308,0.973052,1,3,0,11.8548,0.437406
-10.8699,1,0.973052,1,1,0,11.4737,0.531494
-11.0885,0.936348,0.973052,1,1,0,11.1396,0.500236
-10.8133,1,0.973052,2,3,0,11.0363,0.541423
-11.6043,0.788384,0.973052,1,1,0,11.6086,0.447174
-11.5354,0.719144,0.973052,1,3,0,13.5286,0.777619
-10.5878,0.688683,0.973052,2,3,0,14.4564,0.615967
-11.8157,0.725109,0.973052,1,3,0,11.9501,0.429745
-11.8157,0.664152,0.973052,1,1,0,12.9946,0.429745
-10.9445,1,0.973052,1,1,0,11.5736,0.519788
-10.7359,1,0.973052,1,1,0,10.8997,0.557245
-10.7366,0.903305,0.973052,2,3,0,11.2807,0.557098
-10.5888,0.996916,0.973052,1,3,0,10.7392,0.635438
-10.602,0.953818,0.973052,2,3,0,10.844,0.602511
-10.8695,0.902344,0.973052,2,3,0,11.1728,0.531557
-10.6233,1,0.973052,1,3,0,10.7974,0.591135
-10.5875,0.998368,0.973052,1,3,0,10.629,0.633545
-10.5969,0.981871,0.973052,2,3,0,10.6868,0.606247
-11.4477,0.760626,0.973052,2,3,0,12.1308,0.461388
-10.6339,1,0.973052,1,3,0,11.2261,0.586683
-11.5189,0.801786,0.973052,2,3,0,11.9845,0.776447
-10.6028,0.986562,0.973052,2,3,0,11.5874,0.647632
-10.6039,0.903308,0.973052,2,3,0,11.1842,0.648339
-10.6437,0.989231,0.973052,1,1,0,10.6444,0.66578
-11.0356,0.886419,0.973052,1,3,0,11.2709,0.507046
-11.0644,0.991353,0.973052,1,1,0,11.193,0.503289
-11.0268,1,0.973052,1,1,0,11.1774,0.50821
-12.2548,0.69269,0.973052,1,1,0,12.2717,0.398211
-10.6235,0.989513,0.973052,2,3,0,12.3435,0.658124
-10.6226,1,0.973052,1,1,0,10.6334,0.657758
-12.3056,0.624004,0.973052,1,3,0,12.7637,0.394886
-10.6033,1,0.973052,1,3,0,11.9339,0.601676
-10.6148,0.998891,0.973052,2,3,0,10.6181,0.595169
-11.102,0.85863,0.973052,1,3,0,11.349,0.740884
-11.226,0.891974,0.973052,1,3,0,12.2215,0.484067
-13.7695,0.475386,0.973052,1,1,0,13.7721,0.31729
-11.9519,1,0.973052,1,1,0,13.4074,0.419368
-10.5981,1,0.973052,1,3,0,11.8634,0.644458
-10.6376,0.996161,0.973052,2,3,0,10.6377,0.66365
-10.7771,0.9523,0.973052,1,3,0,10.9271,0.548435
-11.1648,0.963372,0.973052,2,3,0,11.179,0.49102
-11.9721,0.785566,0.973052,1,1,0,12.041,0.417878
