# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:24:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmphoqba5u4\9ma2yyn0.json
# init = 2 (Default)
# random
#   seed = 26331
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202411_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.918992
# Diagonal elements of inverse mass matrix:
# 0.255756
-10.9005,0.965692,0.918992,1,1,0,10.9005,0.716985
-10.759,1,0.918992,1,1,0,10.8807,0.694229
-11.2447,0.735247,0.918992,2,3,0,13.2011,0.754586
-10.881,1,0.918992,2,3,0,11.1832,0.714237
-10.5902,0.982278,0.918992,1,3,0,11.0311,0.612579
-11.1979,0.845992,0.918992,1,3,0,11.6171,0.750307
-10.5856,0.982898,0.918992,1,3,0,11.3609,0.629193
-10.6258,0.99481,0.918992,2,3,0,10.6313,0.659104
-10.9604,0.901762,0.918992,1,3,0,11.3375,0.51746
-12.1526,0.855156,0.918992,2,7,0,12.2609,0.814129
-12.8017,0.922666,0.918992,1,1,0,12.8738,0.842422
-11.8375,1,0.918992,1,1,0,12.6865,0.797073
-11.9309,0.994841,0.918992,2,7,0,11.9494,0.420926
-10.5873,1,0.918992,2,3,0,11.7604,0.633212
-10.5855,0.999649,0.918992,1,3,0,10.5901,0.621272
-10.7462,0.980348,0.918992,2,3,0,10.7519,0.691719
-10.7068,1,0.918992,1,1,0,10.7522,0.683262
-10.5861,1,0.918992,2,3,0,10.6856,0.619294
-10.5893,0.998601,0.918992,1,3,0,10.5958,0.636193
-10.6347,0.995336,0.918992,2,3,0,10.6347,0.586381
-10.7908,0.981826,0.918992,2,7,0,10.7997,0.70004
-10.5905,1,0.918992,2,3,0,10.7523,0.612226
-10.5854,0.997617,0.918992,2,3,0,10.6095,0.628513
-10.6011,0.985746,0.918992,2,3,0,10.6922,0.603103
-10.6587,0.9784,0.918992,1,3,0,10.7644,0.670604
-10.6287,1,0.918992,1,1,0,10.6554,0.660284
-10.6226,0.986131,0.918992,1,3,0,10.7522,0.591466
-10.6909,0.985765,0.918992,1,1,0,10.6909,0.568386
-10.5852,0.996157,0.918992,1,3,0,10.7207,0.627513
-11.1968,0.924786,0.918992,2,3,0,11.2235,0.750209
-11.4441,0.961705,0.918992,1,1,0,11.4884,0.770944
