# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = bern_1_model
# start_datetime = 2022-03-08 19:24:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\aswat\AppData\Local\Temp\tmphoqba5u4\9ma2yyn0.json
# init = 2 (Default)
# random
#   seed = 26331
# output
#   file = C:\DataAnalytics_VSC\DataAnalytics\out\bern_1-20220308202411_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.816368
# Diagonal elements of inverse mass matrix:
# 0.329402
-10.6542,1,0.816368,1,1,0,10.7405,0.669194
-10.607,0.989791,0.816368,1,3,0,10.7571,0.599379
-10.8642,0.966768,0.816368,2,7,0,10.8642,0.711801
-11.1447,0.98401,0.816368,2,3,0,11.1488,0.745205
-10.5871,1,0.816368,2,3,0,11.0476,0.617156
-10.5866,1,0.816368,2,3,0,10.5872,0.618191
-10.6388,0.989802,0.816368,1,3,0,10.6496,0.584792
-10.8876,0.91087,0.816368,1,3,0,11.289,0.715181
-10.5949,0.994119,0.816368,1,3,0,10.9012,0.641919
-10.6817,0.972913,0.816368,1,3,0,10.7757,0.570917
-11.5337,0.894331,0.816368,2,7,0,11.5402,0.777503
-12.2779,0.898741,0.816368,1,1,0,12.2911,0.820217
-12.492,0.982247,0.816368,2,7,0,12.4981,0.383156
-11.301,1,0.816368,1,1,0,12.2391,0.475993
-11.1273,1,0.816368,1,1,0,11.3398,0.495466
-10.9925,1,0.816368,1,1,0,11.1544,0.512891
-10.7061,0.908522,0.816368,2,3,0,11.8893,0.683088
-10.6766,1,0.816368,1,1,0,10.711,0.675697
-10.5859,1,0.816368,2,3,0,10.6608,0.619977
-10.6745,0.977033,0.816368,1,3,0,10.7286,0.675143
-10.6281,0.981031,0.816368,1,3,0,10.8445,0.589083
-13.9098,0.66006,0.816368,2,3,0,14.4995,0.31121
-12.0116,1,0.816368,1,1,0,13.5429,0.415002
-11.6051,1,0.816368,2,3,0,12.0529,0.447105
-11.5883,1,0.816368,1,1,0,11.8154,0.448578
-11.2528,1,0.816368,2,3,0,11.5879,0.481129
